#Frame         global     SA_00002     SA_00003     SA_00004     SA_00005     SA_00006     SA_00007     SA_00008
      69    8082.7173     431.4676     496.6705    3677.0702     641.8030     477.5479    1388.9888     969.1692
      70    7605.9316     403.9770     342.6173    3341.4654     608.1251     544.1006    1301.9348    1063.7114
      71    7314.2071     399.7798     376.8726    2932.2908     639.0814     616.7880    1394.1920     955.2025
      72    6687.4509     579.3508     372.7639    2765.5681     581.7291     454.6884    1154.2962     779.0543
      73    8079.5128     491.2248     418.1246    3385.2902     554.5544     566.9922    1746.6175     916.7090
      74    4951.5945     321.6675     240.7222    1866.9785     390.5526     379.9336    1188.2120     563.5279
      75    8366.0445     838.1501     472.0130    3646.7991     589.2611     727.3733    1440.1520     652.2958
      76    7104.9953     701.3783     573.0002    2949.4232     447.8166     391.9938    1191.5419     849.8413
      77    6109.3898     469.6806     441.8916    2022.6925     423.3238     379.8170    1408.7399     963.2444
      78    8123.4261     865.5323     649.3538    3287.2910     501.2667     369.9090    1472.7190     977.3542
      79    6595.7119     433.4161     353.4591    2773.7813     578.8790     449.2684    1175.7804     831.1276
      80    5768.6116     331.8819     306.4639    2237.7893     470.2740     348.9852    1436.9158     636.3016
      81    6513.1640     328.2105     235.7220    2864.3723     398.1909     466.0319    1461.5709     759.0656
      82    6390.1773     328.0733     351.1001    2825.6249     402.2136     442.7953    1429.4478     610.9223
      83    5835.2278     396.6586     347.0009    2170.0382     508.7473     423.8737    1153.8697     835.0392
      84    7161.7195     315.8322     250.7395    2985.4232     618.9524     588.5149    1670.8321     731.4251
      85    5566.5879     440.7007     328.2610    2446.3343     350.7310     330.6975    1102.3268     567.5366
      86    5955.3069     823.0311     369.0827    1892.0123     460.9167     454.7201    1332.6354     622.9085
      87    6847.5271     327.8357     306.2125    3253.9161     509.4061     579.6132    1310.3461     560.1974
      88    6084.4365     523.9451     313.4760    2366.1701     381.0356     400.1761    1364.1086     735.5249
      89    7944.3839     519.5463     357.7688    3427.8655     504.1139     416.9722    1828.6047     889.5126
      90    7728.7381     797.3676     629.2664    2582.4897     471.7754     353.8353    1981.1624     912.8413
      91    7405.6002     386.1639     324.3199    3598.5916     547.6252     388.4987    1206.4507     953.9502
      92    5864.2884     387.4078     321.1827    2329.7093     512.7804     416.6859    1112.8809     783.6415
      93    6330.0297     697.1111     431.9305    2683.2241     440.0975     452.1689    1111.2054     514.2922
      94    8214.5368     544.0303     446.7878    3284.8549     764.3603     633.1726    1695.2991     846.0318
      95    7433.6779     336.7168     364.8137    2917.2846     637.1366     476.0392    1537.1046    1164.5824
      96    7491.4220     475.7967     456.1588    3280.8540     599.7851     490.0005    1238.1477     950.6792
      97    7533.7557     586.3512     505.7687    3273.4429     458.1895     442.3599    1502.5535     765.0899
      98    5525.5360     419.3594     314.1909    2072.1256     540.2793     422.7915     991.3671     765.4223
      99    8110.7876     433.6356     458.8520    3505.6629     754.3145     628.8312    1611.0975     718.3938
     100    6287.7902     573.5573     445.2602    2581.4100     520.9019     350.8530     983.5441     832.2637
     101    6349.4839     315.7408     313.9223    3146.3385     454.9152     427.0330     935.2012     756.3329
     102    5691.1786     394.1856     331.7473    2343.5759     398.1631     366.1515    1358.4533     498.9018
     103    6604.0176     389.4291     339.3467    2790.9550     511.5839     348.5601    1316.1728     907.9699
     104    5281.3310     581.8248     345.9733    2226.5355     359.3082     291.4930     935.1148     541.0815
     105    6166.1178     474.1618     326.8576    2927.0856     283.7044     251.7110    1041.9483     860.6491
     106    7551.6385     612.9803     456.0156    3084.2797     513.6568     427.5550    1652.8326     804.3185
     107    8401.5517     424.6578     354.0071    3987.9348     614.6098     474.0980    1557.9844     988.2598
     108    4851.1167     331.9542     246.9620    2014.1273     336.7831     260.0086    1077.1170     584.1645
     109    6870.1299     326.7829     477.2637    3130.4493     412.1256     329.4265    1411.9786     782.1033
     110    6420.0826     395.3760     490.9617    2781.6441     474.2243     370.1079    1376.0671     531.7013
     111    5246.5960     510.4015     373.1768    1867.5311     350.9685     313.5043    1167.4472     663.5665
     112    6883.9430     623.6037     621.2316    2369.3679     585.5115     521.2479    1425.5673     737.4131
     113    6020.0180     508.3392     291.6241    2832.0970     388.4307     305.4604    1075.8598     618.2068
     114    5784.9060     341.8087     330.0944    2357.2616     471.5550     363.2161    1196.0485     724.9217
     115    5267.3315     433.7046     324.9454    2108.2853     431.0140     399.5839     905.2534     664.5448
     116    6819.4042     489.1942     418.0612    3082.3551     547.2047     440.9097     985.3224     856.3568
     117    6368.6877     489.7505     356.6374    2531.4751     467.5016     332.4213    1458.7752     732.1266
     118    7371.0908     370.3750     532.1549    2900.6916     443.6088     362.1118    1797.0297     965.1190
     119    4902.9080     311.2376     284.6655    1930.2618     406.7970     283.3037     976.8201     709.8223
     120    5499.7457     390.4256     338.6756    2386.7043     379.8970     360.2538    1168.2949     475.4945
     121    5556.3211     343.8877     300.0878    2371.6701     526.2908     356.9118     965.7989     691.6739
     122    5835.6694     405.1365     336.2858    2514.6432     362.7713     276.3801    1410.1117     530.3408
     123    6256.5990     530.7628     454.7478    2566.7625     336.9298     279.3607    1217.8794     870.1560
     124    7237.9972     533.0921     401.0264    3490.1622     433.6203     422.0332    1070.0338     888.0292
     125    6220.6204     546.3831     496.9486    2545.0614     438.0020     316.3969     987.2722     890.5562
     126    6716.6236     402.0789     424.8548    2759.6834     443.9349     358.6784    1395.8016     931.5916
     127    5300.5537     353.9013     318.8488    2201.3883     312.1048     295.3204    1210.6401     608.3499
     128    8779.0269     723.9747     528.6395    3901.0100     529.7389     577.2542    1382.3074    1136.1022
     129    7748.0714     346.6119     341.3787    3496.6564     544.8595     628.9348    1582.3232     807.3070
     130    7055.2856     789.8566     432.3209    2819.0560     488.4531     666.4286    1259.3763     599.7942
     131    7623.1186     473.0260     436.9635    3601.4165     618.3888     450.6324    1023.4704    1019.2210
     132    8261.1376     636.2103     541.4239    3364.8935     581.2514     599.8399    1403.1820    1134.3366
     133    7464.8741     440.7615     431.9801    3311.4023     711.2548     523.1163    1195.7322     850.6269
     134    7351.0296     541.7918     474.0744    2909.4831     533.7048     505.2933    1536.3603     850.3217
     135    6188.9716     503.3199     419.5527    2486.9891     622.3796     429.1986    1027.3507     700.1811
     136    6770.8023     377.1738     395.3305    3081.8549     552.8342     433.5226    1038.0937     891.9926
     137    8180.8582     497.8531     557.7135    3407.3521     466.3343     432.6010    1799.2456    1019.7585
     138    6355.6310     384.1164     369.8276    2649.2893     392.5160     360.7621    1435.9062     763.2134
     139    6957.3101     633.6299     601.7264    2960.0133     356.4848     262.4247    1180.3567     962.6743
     140    7789.0188     557.1684     389.2172    2997.1714     733.0055     579.3251    1607.7607     925.3705
     141    4941.5899     303.8401     259.5006    1899.5868     409.5955     364.9131    1060.9956     643.1583
     142    8090.4275     506.2613     407.5800    3269.8907     689.6253     688.2111    1799.8692     728.9900
     143    7892.6716     474.1919     508.4380    3515.4949     405.6243     313.7379    1743.3320     931.8527
     144    7566.5167     462.5385     511.1840    3077.8333     803.4825     682.9534    1195.8112     832.7138
     145    8088.0005     419.2995     422.6695    3181.6510     674.5847     500.2183    1878.6325    1010.9451
     146    6104.1430     517.3479     459.6044    2691.2309     412.9020     314.8808     906.9235     801.2535
