#Frame         global     SA_00002     SA_00003     SA_00004     SA_00005     SA_00006     SA_00007     SA_00008     SA_00009     SA_00010
      56    9681.4770     692.7031     564.6339    3560.7266     891.8464     544.9157     471.3385     471.9238    1505.5776     977.8113
      57    5881.3723     413.3164     337.2541    1919.8654     400.9526     297.3569     276.9808     344.8340    1265.5625     625.2497
      58    6274.6513     310.7423     256.4269    2164.1159     576.3443     409.7007     433.3903     346.7196     957.8607     819.3505
      59    7307.5436     595.5982     456.9876    3208.4099     483.9756     496.2186     435.7378     351.7485     812.1147     466.7527
      60    8339.5573     399.4611     494.7116    2881.3221     630.4803     500.3045     321.9166     365.4893    1986.5392     759.3326
      61    7545.7385     738.1165     661.3974    2728.4023     357.2493     271.4575     324.1893     468.7824    1144.0404     852.1033
      62    6872.8518     463.8494     462.4313    2320.7270     423.2794     316.4123     469.2533     509.2172    1168.5327     739.1493
      63    6961.0855     386.2816     411.4395    2371.3781     488.7419     408.1195     438.0328     416.4260    1314.8466     725.8196
      64    6843.3539     324.0569     285.9909    2764.4924     356.4588     255.7724     328.9514     505.1767    1178.5704     843.8840
      65    7524.8071     418.9053     311.8087    2645.0164     564.1271     377.7913     347.3936     276.0489    1509.3114    1074.4044
      66    8786.8404     481.4683     567.4006    3165.6219     562.4201     400.1956     495.5759     616.1351    1589.2475     908.7753
      67    6613.4975     544.7347     350.3340    2725.7854     361.4457     257.7268     251.8459     328.3952    1271.6872     521.5426
      68    5729.4960     370.6287     251.9354    1888.2594     338.6509     325.7770     401.7751     355.9303    1208.2797     588.2594
      69    7098.4713     427.5279     391.4740    2821.7342     625.8117     401.8979     364.3437     323.9524    1097.9255     643.8040
      70    6008.9235     560.3713     444.4949    1864.0936     290.1683     269.7511     311.8391     323.1119    1286.8153     658.2781
      71    6590.5599     363.6812     281.5115    2474.9591     428.4882     382.8016     354.0566     317.9451    1055.0508     932.0658
      72    6080.9380     381.8209     413.7395    2511.0629     333.5547     337.3183     276.9504     326.4921    1019.3030     480.6961
      73    6811.8302     555.8045     318.7131    2507.2850     441.3432     294.3280     329.8792     271.4035    1512.5337     580.5399
      74    7069.7910     542.2631     494.8440    2612.2425     484.2183     283.2943     288.3411     305.7854    1306.7459     752.0564
      75    7108.6924     441.3121     418.8079    3241.8905     475.1911     221.6750     199.6701     237.9302    1059.7094     812.5061
      76    8318.5211     372.1743     448.3504    3116.4346     662.6657     443.0859     533.0974     462.6551    1546.3512     733.7065
      77    8207.3651     515.6515     360.9751    3531.1077     462.3229     309.1080     322.1604     514.1127    1532.2877     659.6392
      78    8971.1541     352.2874     389.2631    3243.1673     622.0996     389.2971     283.8133     334.1659    2069.6811    1287.3793
      79    6667.1482     562.2712     534.7109    2368.6287     304.5468     272.3420     307.8892     321.3162    1183.7268     811.7164
      80    8433.3362     549.3866     487.8939    3436.0819     607.6342     557.6643     299.1074     428.4363    1264.3603     802.7711
      81    5224.0491     319.2352     249.2593    1775.7043     237.2229     220.8726     304.4261     371.5741    1086.7107     659.0438
      82    7416.3664     345.7048     312.4151    2935.7184     441.7844     232.8835     213.3593     260.1132    1955.3637     719.0239
      83    8698.2296     460.7599     437.2077    2972.4674     797.0089     554.7531     531.2234     423.1572    1644.5405     877.1116
      84    6442.1742     319.6603     316.1649    2454.4364     531.0596     294.1448     276.0328     316.0104    1188.2543     746.4106
      85    7727.4911     325.0829     259.2002    3331.2151     473.7811     449.4211     541.4410     405.2570    1264.4862     677.6065
      86    8621.6365     505.7319     570.9212    3233.4820     502.7783     348.8263     372.8563     516.1150    1467.0322    1103.8935
      87    7066.0987     512.3833     519.5117    2648.4071     368.1198     309.5574     289.6031     563.0358    1237.5597     617.9207
      88    8086.5342     576.1851     465.2495    2882.0145     482.0153     377.6627     521.9192     778.3243    1470.5426     532.6209
      89    7461.9327     454.6703     441.1508    3360.9642     370.4555     262.8854     259.5722     292.9240    1134.3760     884.9342
      90    8566.1534     752.5504     534.0171    3547.0691     338.7292     459.1626     533.6172     409.4247     984.6404    1006.9427
      91    7566.8937     423.8970     444.7574    2301.0818     548.8257     471.0561     498.8439     584.2763    1491.7356     802.4199
      92    5444.3440     484.9877     329.1999    2012.1395     358.0631     246.5875     223.7261     283.2538     882.4113     623.9751
      93    7833.4293     458.5106     407.1325    2752.6908     404.6346     372.1192     545.3884     479.0622    1738.2994     675.5916
      94    8745.0822     634.4666     571.7003    2731.7096     532.9067     342.3277     269.3877     300.9731    2223.4593    1138.1514
      95    6591.6874     528.1734     434.7023    2441.3405     371.0926     304.9196     353.0540     457.2240    1076.6333     624.5476
      96    8952.7828     588.3529     312.7332    3352.5071     566.6657     387.6452     353.3745     532.2203    1969.4393     889.8446
      97    7565.3090     468.1964     360.5328    2830.6365     460.0842     432.0331     449.3565     474.5228    1388.9072     701.0395
      98    8061.6485     610.3554     515.5553    2999.1337     488.9795     309.4151     345.4517     452.1784    1468.6716     871.9078
      99    8674.6654     436.5268     384.8722    3596.8201     525.3617     412.1245     453.6272     507.4395    1597.7376     760.1559
     100    6840.0963     431.9504     328.2706    2586.1551     383.1771     219.1551     213.4859     239.9838    1427.6212    1010.2971
     101    6617.4300     394.8681     364.8972    2346.3344     524.9038     346.5790     285.6121     276.4729    1355.5620     722.2007
     102    7349.6544     598.0509     519.1717    2821.7118     313.3820     269.0218     275.9623     340.7651    1515.6665     695.9222
     103    7081.2137     539.9586     430.9171    2465.4231     311.9614     219.2995     269.9548     451.8883    1820.8458     570.9652
     104    8258.0094     672.9657     447.6540    2669.4033     481.3894     405.5291     530.6091     618.9751    1550.2873     881.1964
     105    9303.1034     480.4642     526.2633    3398.4496     708.5727     411.4155     476.3545     594.9017    1711.3781     995.3037
     106    7790.5368     353.7241     515.4495    3168.1805     545.1110     455.2377     325.5999     302.1964    1593.4386     531.5991
     107    8694.6074     442.7745     439.1962    2844.3484     592.3222     538.2795     616.3713     633.8906    1686.4439     900.9809
     108    7946.1203     366.9500     387.1303    2789.9168     552.1222     449.7714     529.0645     464.1764    1427.6307     979.3580
     109    8513.1230     344.3790     430.3736    3293.5981     622.9875     465.5937     430.3456     424.9038    1665.1884     835.7532
     110    8205.6463     655.3791     491.5889    3469.7297     667.5705     327.7915     256.5121     307.3512    1125.7785     903.9448
     111    7440.4519     550.9045     520.7065    2887.0460     319.6011     291.8420     371.0637     350.1500    1350.0345     799.1036
     112    7925.5414     519.2884     650.9588    2507.5143     454.6759     393.1117     356.6418     338.0697    1882.5560     822.7248
     113    9550.9550     568.1813     528.6605    3664.2991     615.3302     460.3940     345.2822     474.6272    1924.9712     969.2094
     114    8577.3878     452.3828     792.0341    3119.9300     421.3010     400.2137     567.4737     597.4605    1226.6052     999.9868
     115    8429.1214     327.9647     257.7478    3578.4761     454.8674     444.1372     459.6375     578.8345    1308.4038    1019.0526
     116    8050.4526     375.2500     370.5903    3348.7618     828.5824     534.0694     253.8355     243.4277    1286.0873     809.8481
     117    9381.6241     485.7559     598.9022    3848.9108     650.1510     493.1032     330.0661     281.0917    1548.1564    1145.4869
     118    7017.8702     603.2731     482.5096    2322.1326     440.5074     276.9871     268.9804     326.2812    1703.9362     593.2625
     119    5615.6992     355.1193     282.5673    2244.2231     319.8698     319.0039     272.8048     306.1993    1003.5143     512.3974
     120    7312.7231     497.3761     409.8774    2775.1794     489.0070     375.9719     451.2818     463.3524    1250.7915     599.8855
     121    7102.5301     563.6592     548.2266    2630.0164     361.5662     289.9089     443.2386     434.6226    1231.3923     599.8993
     122    7043.1245     378.5937     308.1145    2285.6209     552.5932     392.7308     429.4303     456.5659    1531.2153     708.2598
     123    6743.6767     420.1831     367.4342    2704.0741     384.2801     296.4376     329.4218     347.3918    1173.6140     720.8401
     124    7062.9116     441.1406     303.1693    3031.0616     500.9479     277.4994     221.2278     251.4014    1275.8384     760.6252
     125    7915.0937     545.1432     359.2634    2813.6670     773.9480     581.5777     485.2130     440.4928    1048.4482     867.3403
     126    8781.5043     815.3933     618.4141    2875.4590     431.3674     299.7298     356.4474     735.6912    1770.5731     878.4289
     127    7529.4678     351.2077     300.7527    2557.7351     555.0887     538.8815     514.9017     628.2730    1374.0642     708.5632
     128    7790.5114     495.4526     727.4960    2575.5581     316.2113     290.0526     367.9642     324.7695    1766.9999     926.0072
     129    5992.3571     420.8581     417.1190    2323.0963     393.8480     232.6050     220.2536     246.7414    1131.4835     606.3522
     130    6174.6593     338.3021     300.9479    2489.7887     410.6106     464.5306     356.4583     244.6689     893.2702     676.0820
     131    7993.0749     481.0895     634.5157    2806.7733     453.3616     282.3259     315.5233     439.0934    1804.1054     776.2868
     132    7010.1903     323.2153     312.8070    2513.5343     647.4229     479.3134     284.2677     300.3146    1207.7411     941.5741
     133    6843.9747     372.2210     391.0847    2655.6300     406.9845     276.8958     281.7602     407.8045    1380.6413     670.9527
     134    7432.7858     379.8667     408.8455    2828.6914     524.7537     710.0420     478.5342     369.4035     963.2695     769.3793
     135    6361.7276     367.4861     349.6344    2373.6133     451.2878     287.5628     217.5212     237.7026    1298.3766     778.5427
     136    6310.4941     471.7896     364.9631    2722.2693     304.5112     204.6893     195.3179     287.2316    1011.1332     748.5890
     137    9191.7082     372.7512     376.9665    3965.1022     405.1690     320.1532     363.3845     337.2041    2137.0182     913.9594
     138    7096.1550     378.2726     300.8800    2736.5435     526.1549     438.3020     268.2776     278.9620    1448.2402     720.5223
