#Frame         global     SA_00002     SA_00003     SA_00004     SA_00005     SA_00006     SA_00007     SA_00008     SA_00009     SA_00010     SA_00011     SA_00012     SA_00013     SA_00014     SA_00015     SA_00016     SA_00017     SA_00018     SA_00019
      31   10258.1480     754.8075     268.3191     208.7639     196.5726     208.1583     229.2542     329.8125     355.1648     525.7927     556.7933     283.5651     262.3391     287.1900     301.1167    2608.0833     429.1829    1509.3847     943.8471
      32   11503.5964     430.7505     286.7011     394.5654     424.1711     287.3026     289.0714     263.6671     261.7682     249.5252     305.9166     259.8037     247.8211     441.0190     590.3561    3989.0279     476.4339    1574.4788     731.2167
      33   10170.8369     315.7360     221.4413     195.4625     199.6613     184.5625     212.5354     315.3630     380.0733     381.3309     426.2761     337.6769     386.4643     305.7304     310.9082    2621.8588     747.5500    1621.4029    1006.8029
      34   10773.5966     540.5352     407.4772     302.2755     263.9803     253.6552     269.8853     257.6330     351.1271     369.8963     257.8645     243.6788     272.9429     327.0102     337.1364    3568.2767     575.4375    1283.7287     891.0559
      35    9786.0532     464.6303     344.1134     358.8501     353.5565     544.9995     524.8667     289.6951     182.8283     174.8067     165.8748     198.0627     384.9216     452.3207     359.0291    2604.8062     558.5394    1093.7332     730.4191
      36    9194.4729     662.7486     360.7671     363.9277     330.9363     206.7621     191.8743     222.5871     279.5033     258.9301     239.7046     287.6785     318.6723     282.5863     293.5950    2725.0250     489.0441    1040.2862     639.8442
      37   10874.6556     610.2243     450.3944     278.2018     196.5939     198.3786     217.8491     285.5376     408.6672     534.3700     487.4021     375.5337     261.8899     299.8033     427.7359    3002.0142     679.2811    1365.4762     795.3024
      38   11200.2308     641.1069     298.2204     257.9677     272.7243     323.0247     340.5134     350.8446     349.0326     251.8020     218.1126     230.5413     313.2320     495.8947     399.7315    3520.1842     761.7400    1338.4548     837.1031
      39   10442.4939     679.0189     293.8299     273.0662     278.3193     290.9418     285.5056     213.4780     239.7257     280.8662     230.9453     236.5299     320.7351     402.8215     520.5363    3346.7595     491.9999    1277.4753     779.9398
      40   10587.1514     739.6390     438.4779     368.8584     235.0272     258.4291     364.2099     376.5935     395.3697     444.2891     365.9211     298.5427     293.3068     391.6397     411.5721    2472.2861     362.7974    1447.9163     922.2752
      41    9650.4956     485.1790     529.4309     518.1722     295.7488     235.9073     202.9788     199.2119     191.5235     170.6410     187.1979     233.1077     261.9916     349.4153     395.4349    2937.6718     598.8428    1348.5856     509.4548
      42   13070.2455     825.4618     922.2285     615.2819     522.7302     604.6962     474.7652     313.6193     252.2868     281.7422     403.4970     382.2349     315.9556     319.3913     452.4105    3513.3665     615.4499    1560.3401     694.7876
      43   10829.0458     513.2671     295.6170     247.2469     292.3556     262.8339     269.6322     239.1355     274.2437     354.1367     567.5419     755.8887     705.7948     503.0687     484.2201    2398.4251     537.1781    1313.0242     815.4356
      44   12462.2238     892.3188     460.4594     334.1959     334.5829     315.1874     401.2410     391.6310     422.2861     539.9227     496.9868     336.9428     294.4436     263.5142     339.5985    2694.4433     835.5318    1982.9150    1126.0227
      45   10976.2055     391.9598     262.4293     240.1141     254.0817     253.0126     241.9616     201.9101     251.3924     376.0698     442.9044     475.6230     412.3554     616.7336     444.9562    2714.3369     599.3630    1996.9693     800.0325
      46   10744.9360     841.2042     707.0935     389.1778     334.1459     332.6576     424.2891     378.5269     245.7509     229.7009     225.0584     210.3780     217.0621     242.4754     349.7642    3029.1896     452.2746    1358.2792     777.9079
      47   10479.5665     404.9409     342.4931     405.3830     312.6501     296.7706     484.6156     529.4594     529.6766     396.9942     317.0421     242.6527     238.3260     381.4271     411.6909    2551.0294     712.5962    1234.2331     687.5855
      48   10887.7843     345.7246     313.1411     246.3942     331.7417     398.3441     482.9352     549.3510     514.5768     532.7507     409.3350     360.0076     316.6997     247.8155     346.0711    2479.7930     405.2470    1718.0319     889.8241
      49   12345.9680     489.3296     257.8266     255.0560     329.7305     513.7942     523.5140     465.2048     447.6482     371.7423     452.9262     441.3446     370.4510     280.7027     326.5368    3524.0712     413.0816    1888.5745     994.4333
      50   13182.9585     351.8283     473.9066     624.8833     554.1793     344.8088     296.8639     514.5147     381.0421     242.4228     288.1765     418.3297     400.2895     248.9318     282.0291    3493.3313     966.6860    2035.6052    1265.1297
      51   12749.2769     339.5200     271.1898     282.0020     319.1144     492.4832     561.9442     493.0908     434.0066     367.4198     284.8158     278.5968     412.3222     388.8290     317.8382    3401.7607     622.0340    2306.4795    1175.8298
      52   12386.0387     348.9479     326.3117     292.2134     260.9274     347.3944     333.1791     274.8328     239.6348     184.8803     174.2596     198.4579     413.6542     428.9615     462.9106    4270.2123     668.9098    2137.6117    1022.7394
      53    8091.3103     369.5576     328.4308     275.8016     217.8190     194.4112     230.3653     293.6336     259.3059     224.4453     177.1031     170.8893     164.7910     209.0332     386.7379    2587.8287     385.1691    1118.1102     497.8776
      54   12838.7109     529.7103     435.7904     358.7715     558.1524     494.0384     531.6580     659.6338     540.5477     405.3834     429.7369     320.0441     397.4323     343.2791     424.9164    3761.4873     691.7989    1269.2780     687.0520
      55    9693.7960     388.6036     364.4134     323.8630     199.7393     179.9294     159.0612     182.1496     203.8480     275.8123     471.7794     482.6139     314.2534     244.1091     407.3571    2876.8302     613.2564    1235.2333     770.9433
      56   11676.2082     334.1937     234.7019     238.0259     432.3547     608.4603     435.0395     447.6086     465.8917     482.6597     337.0769     255.6722     215.2035     243.2056     435.3086    2183.4761     750.8089    2358.1906    1218.3298
      57   12761.6598     375.8368     439.5969     376.3970     566.6285     522.8632     502.9257     357.1582     239.1740     199.9090     195.6893     230.7591     264.1692     298.2758     281.4773    3893.4014     700.9205    1951.1484    1365.3294
      58   10243.2535     368.0205     245.5433     295.8716     486.7089     547.3648     372.9264     292.1878     339.3151     264.0732     315.1851     469.6867     310.9179     308.8359     324.8037    2802.6577     559.7613    1271.6377     667.7557
      59   12266.1638     782.5675     559.8458     558.3749     403.5467     581.7701     586.2869     427.7086     296.7295     284.4736     384.7065     339.7512     213.5711     199.6336     216.9289    2789.6623     714.9524    1835.4510    1090.2033
      60   11398.5262     625.2911     684.4560     558.0029     529.6502     301.7413     279.4658     290.3904     323.8387     260.7852     276.6338     271.9182     412.2645     310.0996     375.6313    2960.6432     760.3696    1475.1310     702.2133
      61    9429.1176     481.6232     288.7688     233.8708     184.7438     192.9845     175.5621     199.2731     237.2052     310.2444     252.1861     182.8098     174.1585     206.7548     266.4047    3108.8224     675.8652    1458.7443     799.0959
      62   10273.5052     365.2796     303.5420     297.2889     252.7328     197.1655     189.2434     188.2568     189.6714     195.8855     242.4679     377.8601     279.1463     335.8756     570.8280    3744.1065     566.4887    1062.2481     915.4181
      63   11276.4721     373.5350     265.3621     247.7126     322.2601     395.0693     312.2701     478.3219     678.6479     698.8953     464.3968     338.6878     354.2620     376.6184     537.4684    2754.9780     535.6049    1416.2162     726.1653
      64   10368.6938     509.9697     516.7249     382.0759     306.6425     262.8999     276.5865     391.6535     425.1398     288.2522     229.6314     271.1102     409.8348     335.4067     332.9339    2585.7400     701.7466    1423.6447     718.7004
      65   13309.3528     885.9733     755.3155     999.9406     638.2842     377.1649     312.0768     241.8368     253.8491     344.3168     421.4261     383.5210     428.3499     463.8533     404.3416    3044.5225     465.1071    1877.1016    1012.3718
      66   11682.2298     664.9571     693.1784     674.9475     309.4192     208.0080     200.3729     270.7235     214.8764     218.9793     260.3595     444.3954     403.8053     364.8060     375.2821    3681.1902     615.4975    1269.6266     811.8050
      67   12289.5730     503.3561     289.0471     248.8828     234.9639     314.9825     379.0862     290.1998     213.3780     252.1054     346.8595     528.7071     638.5366     627.6577     439.8953    3709.8069     806.7353    1851.2859     614.0869
      68   10896.9318     325.3271     225.4538     246.2221     425.3654     559.2001     536.0599     383.3501     298.1666     250.1398     198.8588     183.5896     197.1917     212.7435     360.1700    3381.1546     656.9463    1576.9083     880.0841
      69   11095.1904     544.1509     507.1639     721.1676     534.3702     391.2752     264.5371     216.0384     213.4617     215.6313     208.8178     291.4091     410.8681     439.0549     465.5708    3339.1203     600.0470    1045.0685     687.4379
      70    9577.5461     881.7272     322.8112     248.5531     204.3484     198.1871     206.6039     268.9234     271.9565     236.6676     291.5777     453.6987     396.8902     302.9746     319.0416    2548.2419     547.7962    1243.4780     634.0688
      71   11377.3592     419.0961     499.4549     723.2810     524.6341     306.7821     252.5737     355.5763     658.3995     605.3057     402.6511     265.7922     286.8308     270.5169     354.3423    2769.4066     491.9615    1335.2015     855.5530
      72   11820.0463     822.0797     656.2493     548.9572     491.7970     339.8226     336.1306     329.4915     289.2734     298.1243     246.6130     231.6358     363.1049     425.3932     467.5069    3331.0115     673.0915    1203.2120     766.5517
      73   10305.5652     564.9926     817.3455     592.1856     405.5738     351.0052     495.0491     418.0744     280.5725     241.6512     196.1037     171.3192     165.5513     189.3434     259.5880    2688.0571     481.9257    1162.9390     824.2878
      74   10708.1565     321.7294     257.7778     210.3283     187.9849     179.6818     181.4260     199.2546     330.4854     349.0210     303.7928     224.2317     244.6895     235.2183     266.5655    4102.7301     554.8938    1784.5419     773.8038
      75   10221.8312     474.5510     471.4267     276.1802     207.8786     197.9194     207.5217     236.2221     301.4157     348.8958     376.3049     376.5490     394.7638     310.8094     317.9227    2694.9626     689.9648    1414.8109     923.7318
      76    8031.4643     397.7234     353.0979     305.1210     276.5901     247.5144     207.2996     179.2746     185.5403     190.8908     214.7314     208.4966     214.0253     281.9066     310.2085    2101.6656     488.0908    1343.1329     526.1546
      77   10345.7362     676.9984     650.7702     348.7763     338.8263     416.5122     634.1195     552.1049     382.8150     248.1672     267.0834     242.6411     229.4806     248.5928     296.8121    2029.1265     583.7855    1242.5329     956.5916
      78   10168.6337     429.2033     505.5973     436.9023     440.4435     300.1947     278.1561     262.8869     223.9550     202.7985     188.5931     189.9531     194.7896     210.9401     378.7474    3183.5764     750.6696    1299.2388     691.9879
      79   10411.9509     363.2332     347.3295     432.6862     302.5270     245.1360     244.4847     266.6431     357.5400     339.2328     336.5181     284.7537     292.5720     311.2474     299.2422    2866.5066     643.8209    1653.9370     824.5404
      80   15723.0300     610.7994     373.1225     411.6938     539.5879     497.2267     420.6482     338.9951     327.0628     360.7522     622.9958     823.0671     642.1378     429.7453     405.4649    4245.3560    1020.0175    2326.6905    1327.6666
      81    9688.9439     665.5312     313.4301     195.7802     176.1103     157.4505     189.2661     297.1599     370.6610     369.0880     239.8114     204.2954     205.8818     220.9575     327.9722    2561.8029     773.5942    1456.7338     963.4174
      82   11831.6100     310.2901     204.8715     181.7093     206.7282     274.5307     248.5222     363.9205     429.3719     356.5018     322.4987     438.2459     437.1030     459.4384     562.1676    3077.0886     985.4311    1894.2628    1078.9278
