#Frame         global     SA_00002     SA_00003     SA_00004     SA_00005     SA_00006     SA_00007     SA_00008     SA_00009     SA_00010     SA_00011     SA_00012     SA_00013     SA_00014     SA_00015     SA_00016     SA_00017     SA_00018     SA_00019
      31   12790.8432     433.7742     467.1767     393.7820     321.5104     426.3220     395.2648     321.4886     329.4147     367.7350     435.1297     674.6444     702.9838     740.9858     464.2113    1454.6394     617.3789    3439.9811     804.4204
      32   10939.4582     439.1661     300.4067     303.9173     275.3379     208.4872     254.9459     449.1748     437.0134     479.8584     424.4938     469.3590     440.6243     388.5640     431.4289    1004.3237     485.5590    3140.1354    1006.6623
      33   10173.7064     469.5770     299.9024     220.9800     225.9789     235.9814     293.2905     318.0242     353.9345     401.8617     378.3115     253.7586     191.8823     212.8420     324.1052    1446.7641     569.1895    3222.7286     754.5941
      34   11832.0643     728.1560     713.7817     401.0876     309.5284     445.9720     380.2988     244.0345     238.6222     234.5664     269.9683     298.7433     293.8891     253.0627     258.7995    1397.2382     523.7896    3771.6993    1068.8267
      35   11158.3025     533.2038     528.6439     549.3803     547.8520     434.9769     368.2789     373.7917     232.8430     198.8491     194.6862     244.2375     421.8020     426.1185     384.9996     960.8533     570.9090    3280.6790     906.1979
      36   11469.5186     782.8032     423.4958     259.8675     247.2090     275.6874     294.2063     348.3755     520.4581     349.8055     303.9307     317.8896     317.9831     382.6965     502.0091    1409.8776     442.2949    3199.6878    1091.2410
      37   11163.1716     367.3191     418.2689     512.7313     479.5611     502.7267     545.8062     367.1146     184.7609     175.1819     156.1916     166.4406     174.3780     197.3303     316.3532    1700.6085     754.9769    3301.1485     842.2734
      38   10382.7329     310.3808     214.7927     205.4737     261.0402     281.2280     315.8610     480.6588     793.8992     638.2926     292.3128     192.7207     189.7865     220.8637     298.9698     913.9067     473.7038    3406.1912     892.6507
      39   10747.3702     492.9639     392.1307     366.7921     445.9375     454.9114     260.6611     195.7147     203.3405     307.0393     304.4136     334.3373     340.5357     313.1182     478.0457    1671.1135     449.4082    2698.7408    1038.1660
      40   11712.8300     460.7200     264.9419     269.3258     284.3128     278.2718     325.3313     343.9518     270.4612     369.3792     471.3000     665.5331     657.6453     339.3518     352.4579    1295.2742     433.7693    3735.6046     895.1981
      41   13520.6306     744.1570     661.6562     519.8651     459.2283     329.7842     331.0760     395.1022     465.5253     570.2818     695.3448     702.5634     367.0302     298.7119     357.5133    1392.3230     644.0790    3656.9820     929.4069
      42   13386.6307     464.3437     586.1811     485.7469     424.0990     443.8709     453.8514     340.8149     314.5100     299.6545     319.5288     699.1128     467.2428     263.4341     298.7041    1849.9104     652.0474    4141.8371     881.7411
      43   12270.1938     752.9192     663.4599     390.2887     360.4289     469.3135     312.6472     345.8949     318.3162     272.9609     213.6396     205.5959     273.3130     377.8580     522.0081    1435.7328     518.7694    3836.3236    1000.7240
      44   13595.8556     810.8159     870.2920     782.8330     482.9793     447.1187     301.4163     388.6303     453.7998     501.8958     360.8646     290.1446     275.9911     335.7348     358.3589    1799.4216     588.6741    3474.1495    1072.7352
      45   12139.3790     793.4793     733.7649     404.0045     310.4553     364.0288     314.7290     517.1894     550.1053     510.2870     438.5307     268.6388     205.4062     242.1148     502.7116    1403.0440     548.8732    3021.2499    1010.7663
      46   12707.8979     556.0596     431.3136     463.6155     638.4221     434.1742     405.0115     418.5748     502.2448     706.3025     405.5257     244.0865     265.4369     291.7203     410.0318    1816.6190     612.2202    3084.4291    1022.1099
      47   12676.8650     406.9296     300.2522     457.7792     533.1569     336.2412     301.0895     399.6692     604.0966     563.6817     456.0041     344.1863     294.0244     423.3723     458.9462    1111.4011     435.7295    4445.5536     804.7516
      48   11249.7276     332.3943     261.0193     306.1549     413.5155     474.2549     445.0745     404.4705     375.1354     277.5436     354.8465     435.4005     338.2760     369.2415     305.7890    1085.6042     459.6382    3933.8821     677.4867
      49    8861.5940     301.6675     197.9862     196.6001     313.9629     273.0966     244.3617     279.5253     273.4561     230.5083     267.9743     301.8954     289.3268     261.2776     258.3359     877.8408     425.2414    3136.2484     732.2889
      50   11059.0910     458.9642     376.9064     346.0066     354.3727     253.1018     260.3721     470.1913     542.9239     361.5378     290.6338     265.9335     198.6549     186.1662     220.0372    1513.8275     689.0439    3491.9219     778.4953
      51   13301.0537     751.1268     568.1363     308.8115     386.9731     391.1083     419.1602     429.2945     478.8729     523.8626     293.0071     196.2672     192.1845     201.2396     283.7288    1552.0442     886.6881    4472.1835     966.3647
      52   13261.4276     340.4898     297.9146     256.3079     328.5449     446.9679     425.7935     465.7160     527.5400     485.2305     587.5088     515.5767     383.2798     273.5491     382.8613    1655.8507     579.2475    4294.8283    1014.2202
      53   10980.8348     875.6307     622.5252     320.1030     268.1657     429.4776     627.3999     536.1088     392.4807     294.8737     234.1209     198.9282     201.6033     228.3562     322.1497    1392.6456     524.4105    2741.1271     770.7281
      54    9450.1873     783.8410     405.1227     230.1171     189.2152     174.7689     200.6001     207.1067     225.6860     242.6306     272.5502     268.8717     284.6515     359.4030     330.3512    1356.3564     509.6646    2754.8488     654.4016
      55   12504.7068     372.9288     289.7707     456.9135     459.8247     374.7694     377.4707     463.0826     510.5642     710.2167     459.7496     224.0760     189.4890     189.2980     326.0314    1540.6401     600.4750    3941.4594    1017.9467
      56   10886.2344     632.7962     621.8456     629.8893     391.9434     234.6240     217.3214     231.6907     294.4603     437.6197     379.6412     319.0012     298.7884     448.8962     619.9613    1041.5669     414.1051    2720.2931     951.7903
      57   10601.4551     389.7420     512.6613     472.4971     566.9347     481.3394     302.8919     249.9673     273.9202     277.4059     246.5301     251.8213     280.1554     269.7353     313.5174     926.6335     465.7295    3381.7370     938.2360
      58    9671.5881     598.0945     297.5616     230.9611     249.3971     310.9995     336.7998     290.9889     260.3982     263.2374     299.4084     249.5027     236.9770     235.0640     284.6995    1303.4327     428.9313    2971.5685     823.5659
      59   10893.0509     418.4895     319.6073     236.5911     213.5521     205.1521     203.6592     277.1957     435.7543     404.4416     355.3984     365.1879     349.6124     487.8164     497.3583    1194.9467     477.1522    3495.8199     955.3159
      60   11311.0222     483.0475     290.7342     251.1074     250.5967     271.3471     282.9597     225.6945     220.0174     269.3911     349.5736     347.0829     507.3460     420.9882     348.3412    1805.9603     720.4595    3501.2092     765.1658
      61   11811.1675     747.0137     547.0907     452.2110     471.8200     577.0305     829.4810     698.0626     351.1096     226.2746     230.3121     267.2790     300.6270     379.2226     376.8526    1616.2429     421.6774    2356.5443     962.3160
      62   10937.5763     326.4015     267.6527     351.9258     333.0744     465.6965     398.0776     482.4154     656.6048     520.0302     316.1795     288.8969     253.1438     230.7040     310.3046     970.5069     439.6481    3521.7608     804.5529
      63   10618.7689     395.1437     258.4322     242.9408     253.7280     271.1862     316.4502     393.2646     512.2984     555.6150     395.1594     256.3571     332.4390     381.4036     368.8400    1235.4040     480.9299    3254.5134     714.6634
      64    9540.8509     706.9338     449.9212     357.2557     211.6213     177.7508     172.8340     219.7801     282.9648     348.5757     386.4432     348.3095     368.3184     379.0940     307.0222     850.3238     438.4182    2783.2856     751.9987
      65    9452.4291     556.0214     332.6573     231.0978     238.9365     267.1350     260.9777     234.8759     256.8460     242.4428     304.0304     368.3066     388.9083     458.7048     399.0864     954.6143     514.0640    2800.8565     642.8676
      66   11702.3778     582.6287     452.4909     373.7005     255.5630     274.2261     429.2300     403.1568     542.4468     476.2120     352.1172     229.0722     264.9707     286.6936     305.0971    1792.9454     625.0432    3137.8948     918.8887
      67    9333.3744     318.9251     291.1144     407.0535     533.5627     402.8779     432.4131     293.3635     236.8278     227.1223     195.6993     184.7018     188.9265     229.2475     337.2924    1657.6025     603.4699    2099.0287     694.1454
      68   11017.4478     431.7981     402.0096     412.7781     574.7157     562.6293     468.1289     465.2093     288.9835     254.8504     225.8271     209.2520     237.7025     264.0969     398.1502    1344.1586     439.6319    2832.2977    1205.2282
      69   10614.9699     377.8921     401.6682     327.2198     453.7349     392.9512     275.6702     310.2978     351.9678     320.5830     291.1978     349.9543     400.7712     422.8097     436.9247    1865.5572     460.2751    2491.8608     683.6342
      70    9318.2828     301.7230     205.9884     197.2199     181.8143     197.7510     256.3044     300.5655     335.9908     406.4013     577.4118     335.3589     221.0855     205.5153     243.6746     888.7152     439.0345    3126.5032     897.2252
      71    8022.6404     314.8290     196.8297     171.8884     199.9242     232.4141     259.8467     234.8699     199.9870     180.9213     196.9920     233.0783     237.3607     229.0699     260.4693    1004.9216     429.8480    2662.6063     776.7840
