#Frame         global     SA_00002     SA_00003     SA_00004     SA_00005     SA_00006     SA_00007     SA_00008     SA_00009     SA_00010
      57    7060.9238     417.9714     321.3730     289.7123     412.1221     509.3331    1246.2072     357.5258    2770.4625     736.2164
      58    8410.0344     540.7087     529.2914     571.7663     380.9801     253.9850    1281.6123     455.4651    3341.3464    1054.8791
      59    8101.9869     630.0342     558.9095     406.1118     244.1729     237.3216    1213.5851     517.9623    3603.7930     690.0965
      60    7728.9464     698.8163     384.1706     357.9961     305.9280     299.3457    1620.3694     469.1361    2671.3881     921.7962
      61    7477.5311     578.8463     561.3082     432.4015     268.1922     240.6521    1292.8638     577.1523    2656.6515     869.4633
      62    8566.5275     459.9874     359.1025     361.6381     359.9703     343.7280    1718.5811     713.3084    3337.9644     912.2472
      63    7209.4008     315.9291     206.2063     187.9353     214.1373     351.3685    1432.0240     688.0412    2899.0602     914.6989
      64    9076.4925     433.2879     562.4250     624.8413     713.2749     559.1601    1450.0888     602.6968    3118.4471    1012.2707
      65    6092.9772     325.8282     279.9652     323.3216     324.3792     307.3729    1476.1754     394.3793    1975.2476     686.3077
      66    8447.7204     440.4205     461.3554     463.9382     426.4823     416.9177    1934.1878     740.5955    2653.5596     910.2633
      67    6602.5194     609.6320     451.4865     439.1969     322.8470     296.4073    1004.7537     401.7418    2245.3990     831.0551
      68    8082.6064     500.4610     408.3469     381.6921     400.8999     422.3668    1832.6676     411.7732    2950.4899     773.9090
      69    7855.0911     567.1490     505.3966     346.5712     255.2452     310.0512    1472.3770     468.1305    3070.2421     859.9284
      70    6801.0969     481.2216     514.2790     291.5420     212.1726     228.4418     887.8671     445.2539    3133.6716     606.6474
      71    7468.0147     432.1411     533.0482     571.2256     287.9347     270.9869    1216.0319     465.3424    2969.6516     721.6522
      72    8241.8420     681.0645     549.0189     296.9427     296.2968     312.9801    1306.3810     497.1416    3449.3017     852.7146
      73    9431.5771     614.2229     510.0754     522.7730     584.6571     616.6178    1338.7039     488.8210    3620.4827    1135.2232
      74    8175.4722     550.1148     628.3852     403.4443     326.9458     322.5350    1496.0165     675.7495    2796.6727     975.6083
      75    7780.1312     519.3406     442.7485     491.6716     391.1655     292.7764    1190.5705     444.6425    3005.7425    1001.4731
      76    8961.8753     371.0553     469.6731     482.3535     375.5672     352.9923    2171.9300     475.6231    3294.7878     967.8931
      77    7428.9145     825.5255     422.4371     337.9695     319.3854     261.9073    1379.3365     432.9926    2714.7794     734.5813
      78    7750.9567     457.6755     406.4373     417.1213     560.3878     685.5418    1044.4452     472.5949    2876.7645     829.9883
      79    6677.9129     396.3008     316.8756     291.3561     299.0418     270.7509    1120.0210     367.8576    2956.5589     659.1503
      80    8229.9860     577.5043     420.2443     488.2005     618.8630     412.0955    1170.2088     436.1562    3149.0692     957.6444
      81    9016.2392     431.9022     371.2697     255.5063     245.4890     337.9671    1937.4371     522.7422    4110.0052     803.9203
      82    7333.4384     331.9211     335.7662     350.8108     335.1462     332.7738    1395.8511     466.3346    2962.5268     822.3079
      83    6723.7727     349.7964     249.9805     221.1781     208.7305     258.3382    1557.5781     577.0274    2401.3005     899.8430
      84    7140.3243     585.7568     266.4818     289.7310     329.2599     276.9603    1274.3273     509.7093    2772.6141     835.4838
      85    7886.3499     404.1015     333.5394     308.9073     339.1855     371.7063    1907.0341     629.3233    2653.4421     939.1105
      86    7238.6547     457.1136     385.1507     337.9666     347.5953     342.8745    1459.6417     545.7580    2340.8821    1021.6722
      87    7230.2067     538.2321     411.9148     317.3695     262.2549     353.6716    1497.2458     542.4843    2785.6120     521.4218
      88    7591.1214     400.0316     320.7583     278.8788     259.1075     267.0618    1471.3971     626.3688    2975.4205     992.0970
      89    7424.1121     405.2060     415.9025     406.5473     329.2858     345.7666    1287.6869     527.0156    3108.2908     598.4106
