#Frame         global     SA_00002     SA_00003     SA_00004     SA_00005     SA_00006     SA_00007     SA_00008     SA_00009     SA_00010
      57    9016.7658     728.6617     875.9987     646.6069     515.0288     445.4746    3067.9707     636.4155    1354.3740     746.2349
      58    5276.5870     303.0977     205.0200     183.7898     209.5509     346.5354    2038.5069     372.5288     975.5013     642.0561
      59    6703.3059     440.9428     324.7939     265.2123     271.8028     247.5547    2901.7541     475.3300    1257.9993     517.9161
      60    6267.8943     315.6722     245.4178     273.2544     291.1790     274.6446    2635.1502     376.4415    1277.5918     578.5428
      61    6403.3096     443.9969     297.5813     383.0964     361.0897     387.1283    2143.5612     529.3800    1376.4282     481.0477
      62    6440.0211     477.9319     380.3728     379.1632     305.8502     340.5747    2360.3171     513.2570    1194.8570     487.6973
      63    7157.3320     632.5691     494.5995     347.3340     327.6541     435.7768    2220.1138     501.8729    1476.2710     721.1407
      64    6032.3072     436.8642     219.1526     229.5347     292.9714     259.8706    2149.9497     474.7195    1168.5157     800.7289
      65    8208.6076     379.8021     329.8911     303.3781     300.8403     417.2217    3419.0040     574.0476    1521.2087     963.2141
      66    5668.6679     329.7473     224.4061     206.3160     207.5951     305.6714    2127.2344     474.8969    1033.3860     759.4148
      67    6791.0677     517.4051     364.8544     442.2817     489.1690     401.5435    2268.2912     479.5568    1173.5663     654.3996
      68    8476.7956     534.1467     509.6269     446.7444     356.2795     367.3091    3870.6101     514.6874    1025.1857     852.2059
      69    6554.4793     863.0947     470.6570     338.4415     309.1499     350.3298    2208.4904     526.5867     892.1385     595.5908
      70    7176.2767     581.9449     416.7170     294.8024     307.1064     493.5544    2896.9853     469.5024    1032.1242     683.5398
      71    7086.1933     438.3269     306.0180     452.6359     477.2445     341.4477    2364.0270     586.9991    1227.7567     891.7375
      72    6023.5469     386.7464     340.3558     298.5932     287.7491     402.6769    2335.7660     402.8174     909.1422     659.6999
      73    6964.3640     652.9711     393.0364     302.9689     332.3826     294.5064    2177.2327     531.8623    1234.6083    1044.7952
      74    7789.4638     675.9465     588.5686     320.7432     306.6534     438.7627    3036.1226     528.1921    1403.5787     490.8959
      75    9463.5426     553.8431     436.8348     571.7213     821.2757     490.5083    3191.9639     655.8190    1714.2729    1027.3036
      76    7896.1961     899.7682     306.9586     248.3564     336.3074     506.4118    3192.6038     584.6404    1073.6601     747.4894
      77    7839.7907     566.2358     327.5298     258.9390     314.2397     353.5424    3183.9842     563.5758    1512.7230     759.0210
      78    8283.3788     457.0564     467.3632     449.3540     318.9246     347.0169    3218.3166     643.8807    1398.5902     982.8761
      79    7811.7162     577.5233     370.0006     301.8822     290.7369     275.1002    3428.5344     351.0061    1449.9274     767.0051
      80    9229.4896     802.0467     439.5143     302.2587     407.8304     425.2279    3842.3810     507.0842    1758.6146     744.5318
      81    7537.4213     389.4603     367.1542     408.2874     543.7422     485.5456    2672.6096     650.8223    1212.5056     807.2941
      82    8657.6808     359.7469     538.0928     536.0412     346.4790     443.9739    3514.6762     637.9095    1281.5968     999.1645
      83    9545.3545     562.1272     480.9467     414.9295     633.2885     455.2932    3531.4082     548.1799    1875.8225    1043.3588
      84    7062.4553     472.7111     482.7199     440.0330     351.7789     344.1430    2249.5663     542.5947    1124.4022    1054.5061
      85    7186.9871     446.6466     428.9872     461.7692     396.9013     425.0116    2356.4964     661.2725    1299.3713     710.5312
      86    6116.7545     439.3951     305.6936     271.2795     242.1456     259.5022    2647.0488     318.4495     929.5050     703.7352
      87    6996.6423     587.6270     441.8678     215.4204     223.4190     244.2481    2386.7453     393.9784    1695.4534     807.8830
      88    6228.4194     349.8003     315.1410     312.5786     286.8823     304.9422    2559.5582     366.6991    1234.3364     498.4814
      89    6796.2998     398.3173     258.6355     236.4809     246.6671     313.5287    2754.4572     519.5623    1330.2974     738.3533
      90    7146.0680     529.4908     369.0132     231.9837     235.4610     356.1623    2943.1270     482.0428    1189.9278     808.8595
      91    8465.5262     430.2804     389.3210     414.2421     376.5507     308.4619    3521.1507     724.3748    1609.0753     692.0694
      92    6569.6631     324.1410     219.6624     200.0503     321.1003     599.7645    2243.2018     537.0797    1275.4046     849.2585
      93    8863.6099     397.0228     496.0275     873.0710     740.4509     449.8180    2852.3820     553.0026    1768.6590     733.1761
      94    8251.3354     635.3105     464.3217     552.5095     793.6034     593.6101    2849.9267     455.2265    1254.0728     652.7543
      95    6104.8685     419.1129     381.4149     260.3571     278.7911     341.7696    2437.0731     432.7873     885.2663     668.2963
      96    8296.4401     512.1225     480.6147     360.3851     349.5652     438.9462    3402.0038     737.8044    1131.0283     883.9699
      97    7545.2486     654.9452     535.2435     433.1344     478.3614     384.0852    2330.8696     634.1029    1404.0077     690.4988
      98    7270.6256     332.0269     238.5794     238.3981     243.6117     275.8612    2658.7324     663.7664    1753.8164     865.8332
      99    7242.4131     334.5353     232.3081     234.0539     321.9968     590.7392    2866.4021     480.6858    1293.1699     888.5221
     100    6192.4276     830.2444     447.7721     303.9555     286.4819     309.0452    2009.3674     437.6689     886.3486     681.5435
     101    8800.6242     778.4249     595.8540     687.9021     343.3304     371.5322    3120.8233     642.9006    1596.2690     663.5877
     102    6951.1116     670.2037     397.6571     273.5620     284.1622     370.7982    2588.7160     535.5943    1139.1833     691.2348
