#Frame         global     SA_00002     SA_00003     SA_00004     SA_00005     SA_00006     SA_00007     SA_00008     SA_00009     SA_00010     SA_00011     SA_00012     SA_00013
      44    8092.1245     462.1225     442.5531    1318.4990     353.5441     251.9078     234.7262     234.5321     356.8127     361.8128     439.0837    2873.8257     762.7049
      45    9580.2010     600.0054     350.3523    1522.9268     456.2099     496.4400     434.8691     259.7245     356.9852     403.8407     495.6186    3391.7726     811.4558
      46    8860.4781     492.4066     407.1193    1517.4883     699.1092     732.3072     467.4849     331.8452     373.1656     374.7311     444.3928    2524.6455     495.7825
      47    8042.6449     568.6103     441.0898    1707.5258     369.2967     347.4302     257.9542     197.2705     199.8868     226.4505     265.5426    2627.7034     833.8841
      48    9882.4269     412.9020     418.0475    1321.4437     534.4339     425.4947     468.6906     645.3733     545.5312     310.0082     359.6825    3126.0315    1314.7877
      49   10492.5786     598.3468     453.4317    1822.5172     510.9706     400.1809     328.9904     492.5361     538.9541     396.9580     398.7209    3700.4174     850.5545
      50    9035.8459     614.9782     526.8075    1517.5782     610.1313     480.9432     273.3624     238.9947     228.7462     247.8909     406.5503    3086.4654     803.3977
      51    9978.6135     636.0551     773.0393    1582.7993     441.0502     304.6480     313.0684     343.0717     326.1038     415.0540     545.5841    3445.2304     852.9091
      52    9549.1125     558.7487     468.4325    1647.6716     553.9989     564.3677     557.9290     472.1369     266.8416     233.3729     323.9698    3058.7216     842.9212
      53    7197.8926     345.8478     319.9733    1183.5349     381.1700     289.7038     285.2695     241.2685     205.2276     257.9794     271.9902    2778.1134     637.8143
      54    7233.6575     334.4467     341.9749    1033.0059     340.6632     222.8639     202.4693     196.8301     202.2182     241.4133     270.8501    3132.8416     714.0802
      55   10037.6018     525.3204     522.2798    1696.7175     437.0383     390.3985     273.5006     274.0820     304.0641     393.0271     310.9028    3971.1152     939.1556
      56    8470.8535     400.1750     377.0770    1519.7115     596.7387     467.7922     384.3324     407.6854     327.6867     348.6627     456.1891    2290.9324     893.8705
      57    7412.5542     499.8961     372.7153    1308.1517     458.1409     277.2045     205.7166     189.0062     187.7238     260.7448     408.6526    2718.5720     526.0299
      58    8838.8482     336.8359     360.6347    1565.3980     651.6372     514.0299     513.8629     369.2073     219.3329     211.8749     302.3100    2865.9402     927.7842
      59    9409.9597     561.5987     536.4982    1340.8118     609.8444     375.1858     262.8982     267.7765     310.7046     291.1818     324.8828    3566.3701     962.2067
      60   10242.8218     654.4211     612.9868    2126.1675     626.3950     266.5716     257.3771     331.1840     437.1655     345.2471     331.1355    3272.2304     981.9402
      61    8956.4021     359.3053     261.1189    1351.9706     486.3979     452.2454     417.8375     347.8734     262.4964     318.9909     487.2282    3314.2078     896.7297
      62   10971.1609     467.1875     459.6300    2079.2324     672.3261     483.1119     423.3096     510.5214     419.3282     342.2298     422.1769    3396.4948    1295.6121
      63    9667.5082     557.3415     428.8287    1445.8936     671.8798     451.1517     487.5951     465.6935     377.5778     284.0649     306.2349    3070.4618    1120.7849
      64    7266.0197     347.6001     262.1713    1004.1479     351.3161     309.8322     297.8298     244.5716     260.8950     225.1115     273.4715    3032.0542     657.0184
      65    7371.0547     712.7211     423.2517    1092.0821     291.4983     247.7781     275.9663     313.7546     329.2066     336.9666     324.2733    2429.1156     594.4403
      66    9628.9515     535.6640     401.8253    1432.1205     638.9059     366.7833     418.1179     495.0763     417.2957     349.8201     399.5410    3276.3854     897.4163
