#Frame         global     SA_00002     SA_00003     SA_00004     SA_00005     SA_00006     SA_00007     SA_00008
      69    6079.4279     378.6839     391.8799     440.6279    1102.0205     497.6727    2316.1342     952.4088
      70    6950.8994     480.3741     303.9460     273.1595    1624.2802     547.4720    2993.7282     727.9394
      71    7073.6577     310.3962     204.9157     215.8495    1612.4656     491.7948    3388.5394     849.6966
      72    7561.7447     601.6645     380.5745     340.0854    1767.5686     650.2566    2827.3684     994.2267
      73    6191.2549     438.8674     316.3075     286.6170    1329.0674     423.6748    2696.9644     699.7564
      74    6148.7362     388.9446     292.9086     273.2599    1238.7534     327.7813    2813.6593     813.4291
      75    6279.2312     666.0730     387.2973     304.0693     910.6349     463.1351    2825.5121     722.5094
      76    7515.6687     524.2191     307.9846     269.0635    1413.2487     492.1569    3699.4846     809.5113
      77    5089.0890     305.2521     246.1328     254.3502     858.9659     318.0319    2387.3217     719.0343
      78    7473.5378     400.5149     566.8741     423.9012    1405.0949     505.1102    3312.1898     859.8527
      79    7318.5397     475.2135     511.3184     739.7576    1253.1549     536.7933    3016.8928     785.4092
      80    6214.3138     459.3586     387.4485     342.8146    1129.4992     510.0860    2533.0005     852.1064
      81    6964.7212     619.9179     258.5296     236.6468    1394.8641     616.8883    2939.7328     898.1417
      82    6832.7605     609.0079     312.1646     315.8141    1438.6522     377.0151    3021.9867     758.1200
      83    7029.9725     474.8502     320.4703     272.1564    1554.7998     577.2446    2916.5682     913.8828
      84    6172.7050     447.4139     530.3500     361.8328    1485.2870     463.4947    2048.6489     835.6777
      85    6835.9644     432.1816     314.3100     309.6498    1404.4157     573.3473    3197.5628     604.4972
      86    5899.1711     468.4101     332.6403     304.9126     961.6080     496.4391    2716.2106     618.9502
      87    7129.9575    1073.6882     396.5335     338.4803    1860.9329     475.2960    2156.3921     828.6346
      88    5057.6133     356.9968     229.0620     230.2987     931.3211     346.5500    2303.1551     660.2297
      89    5620.6232     323.6582     290.3990     360.0350    1042.0191     416.7926    2631.9248     555.7944
      90    7557.7940     821.3085     664.1358     514.1235    1630.7226     588.7422    2426.8448     911.9166
      91    7247.6222     794.9341     493.2257     320.7139    1740.4324     591.2145    2731.1436     575.9581
      92    9274.1075     662.1043     675.0696     761.1698    1978.7736     798.0427    3391.5595    1007.3880
      93    5715.2934     329.8076     293.1346     326.8991    1057.0802     564.6034    2419.2976     724.4711
      94    6487.4744     513.8531     471.6334     412.5758    1267.4124     461.3369    2724.7073     635.9554
      95    6786.3380     444.1323     415.6035     439.9522    1654.7844     483.5024    2882.0264     466.3369
      96    6280.7836     661.1530     464.7134     416.8815    1421.5896     500.1299    2206.0593     610.2569
      97    6283.7610     538.1075     473.0537     516.9602    1372.1979     464.4203    2091.9520     827.0696
      98    4999.5682     326.7020     221.6827     230.7936    1209.1920     311.9138    2226.9884     472.2958
      99    6210.2469     426.5327     499.1769     445.2901    1125.2674     570.4253    2341.0480     802.5065
     100    8474.6662     709.4147     699.5356     338.3309    1580.1142     524.8841    3698.0912     924.2955
     101    6536.7363     538.9870     327.9364     399.1329    1416.5982     596.3736    2429.8435     827.8648
     102    7706.2481     438.6354     618.2031     497.8962    1427.7975     737.9616    3063.8660     921.8883
     103    7101.7468     829.9613     349.1057     312.3792    1549.3162     585.8153    2507.8663     967.3027
     104    7641.2061     969.3604     411.0485     334.5173    1308.9582     476.1508    3304.2439     836.9270
     105    7004.9170     654.6257     405.1487     445.3540    1246.7683     549.1484    2645.2709    1058.6010
     106    5952.7388     507.3174     297.7191     295.0773    1578.6914     480.7450    2009.5498     783.6388
     107    6389.1632     393.0383     216.3243     207.7978    1006.8183     463.0798    3274.7316     827.3731
     108    6941.3378     308.5992     208.4250     212.7102    1567.4808     483.6156    3329.8713     830.6358
     109    7420.4891     705.5937     385.4285     394.8008    1671.1385     512.2953    2819.6898     931.5425
     110    4759.2525     318.6029     243.8417     245.4641     909.4822     414.6762    2043.4417     583.7437
     111    7862.4666     711.9428     489.9157     366.8060    1551.8069     618.8620    3331.1081     792.0251
     112    6121.9936     443.0624     298.7872     283.2751    1334.4151     535.0131    2352.4668     874.9738
     113    7501.3167     436.5495     310.0407     368.8438    1514.0016     431.7197    3678.9497     761.2118
     114    6779.4864     828.5018     382.2672     351.5211    1395.2814     527.2424    2428.5536     866.1189
     115    5937.0554     641.2918     443.9705     332.7339     866.3309     439.3305    2534.5429     678.8548
     116    7004.3583     513.8055     430.8887     427.1795    1582.9142     491.4276    3076.7259     481.4169
     117    6819.1070     548.5352     471.7474     519.3138    1156.1844     586.0344    2784.1866     753.1052
     118    5428.0779     312.4860     210.0584     209.0436    1292.3289     473.1556    2158.2411     772.7644
     119    4641.6109     318.5414     207.1923     205.1831     997.0810     361.8992    2012.3976     539.3162
     120    6015.1171     388.8927     367.0453     385.5264    1374.0925     541.7242    2120.6240     837.2121
     121    7476.0316     382.8112     354.2412     503.5878    1792.1033     566.3723    3022.3521     854.5638
     122    7088.9136     386.5744     342.5941     333.1052    1632.7207     551.9073    3063.4770     778.5348
     123    7710.2901     411.6895     340.9629     336.1398    1838.1941     692.6330    3308.4695     782.2012
     124    6948.2795     610.7515     341.0718     304.4299    1648.3393     588.4374    2761.7800     693.4697
     125    7492.1554     646.9031     498.9807     369.2314    1600.4368     617.7896    2707.5034    1051.3103
     126    7335.2881     629.9742     553.8222     311.9646    1501.4790     574.3441    2987.6061     776.0978
     127    7880.9308     481.3344     398.2532     395.9098    2008.7880     508.2471    3298.1671     790.2313
     128    7545.5081     576.7683     371.1524     377.1459    1855.6486     541.1468    3200.7979     622.8481
     129    5744.9596     518.3318     286.4957     274.2734    1059.5085     347.7629    2523.2203     735.3671
     130    5945.4188     528.9386     448.0458     339.1420     817.9356     362.3523    2768.5954     680.4092
     131    6726.8862     395.6393     375.2948     483.6095    1599.4094     459.9374    2429.1560     983.8399
     132    7002.6433     447.5225     362.0036     313.0919    1523.6080     571.2385    3062.2371     722.9415
     133    6452.3403     560.5917     462.0171     399.2135    1609.9255     478.6006    2280.6250     661.3670
     134    7113.8590     385.6543     393.4407     356.9364    1481.0413     521.3083    3217.5203     757.9577
     135    6467.3303     463.0002     381.8009     344.7067    1607.2619     457.4684    2280.1432     932.9490
     136    7389.0434     387.4246     369.9324     287.1885    1686.5693     468.5456    3389.7042     799.6786
     137    6847.9426     437.6793     339.7320     328.1454    1637.3635     650.8644    2947.8170     506.3409
     138    7291.0993     370.9179     346.6328     505.6670    1640.2463     655.5602    2911.5944     860.4808
     139    5813.7211     314.6371     209.1094     260.8765    1415.4086     551.7178    2250.2288     811.7429
     140    7650.0096     497.7603     348.3905     351.2740    1613.4119     589.2576    3217.6100    1032.3053
     141    6123.1397     390.7875     332.9139     450.0213    1186.9434     506.5068    2442.3009     813.6658
     142    5963.9516     383.7620     279.3805     297.0407    1509.8087     436.5561    2294.4165     762.9870
     143    8016.0957     385.2648     324.8272     375.9441    1793.6068     544.5634    3843.0076     748.8819
     144    5178.8743     319.4150     249.7822     262.1394     997.6887     409.6709    2391.6422     548.5359
     145    6470.3787     407.0243     474.4653     588.4685    1479.4986     497.2053    2296.8417     726.8751
     146    8974.6537     379.0185     408.2567     487.1195    2146.1636     472.2712    4257.4719     824.3523
     147    6415.7376     344.8718     244.4848     353.2428    1286.0126     531.9553    3092.8659     562.3043
     148    6509.2902     403.3298     360.2233     300.8330    1259.6403     551.2192    2901.4226     732.6220
     149    7006.9840     562.2373     468.0859     404.7528    1598.0238     696.4731    2389.9436     887.4675
     150    5776.6921     535.5893     313.2783     275.8867     885.2552     351.9191    2734.0954     680.6682
     151    7051.9121     619.9684     336.4074     311.0190    1519.4354     462.5739    3052.9396     749.5685
     152    8388.0397     797.9798     548.3143     509.8631    1666.3195     554.1485    3208.0957    1103.3188
     153    7121.3900     773.1530     637.5440     326.8466    1281.9217     543.9288    2634.8522     923.1438
     154    5327.3744     431.8376     317.8959     319.5325    1228.6026     400.0202    1991.9938     637.4918
     155    7576.2961     685.3655     515.0355     681.9583    1284.6779     486.1947    3134.5209     788.5432
     156    5815.9912     416.6445     335.6280     357.6336    1561.0332     457.0727    2189.3807     498.5985
     157    6396.7815     695.9760     260.0351     247.1841    1198.5305     502.5875    2837.6040     654.8643
     158    6939.1133     542.5121     683.5772     613.8702    1243.8147     486.2942    2713.5735     655.4714
     159    6320.3373     336.1661     227.2017     284.1948    1420.6658     568.8698    2847.1861     636.0530
     160    7438.4806    1095.1759     500.1865     388.4354    1591.9015     618.0067    2432.3576     812.4170
     161    6433.0822     790.1175     323.7071     278.9979    1005.4572     382.3597    2841.6304     810.8125
     162    7192.0908     774.2986     359.0838     354.7628    1256.9344     425.1043    3288.6133     733.2935
     163    6323.6209     772.5049     335.2993     267.0652    1074.1200     503.4071    2812.8280     558.3964
     164    7497.2532     729.9668     531.2015     345.1501    1348.1281     704.2359    2954.2811     884.2897
     165    7144.9328     757.5872     452.0766     337.1580    1414.7846     703.8290    2700.8234     778.6739
     166    7004.4758     469.5633     336.2900     370.7009    1340.2100     519.5747    3021.3520     946.7849
     167    6794.5816     309.3393     261.7571     402.0422    1733.7473     401.9122    3164.9031     520.8804
     168    5684.5170     463.6042     366.1280     364.5056    1210.5717     435.2645    2230.7860     613.6569
     169    5824.2856     419.4247     267.9378     248.2418    1110.5859     420.7364    2748.1042     609.2548
     170    6518.1777     371.6136     319.9824     284.9221    1580.6795     590.9324    2466.4908     903.5570
     171    6532.1583     555.2324     421.2529     489.1348    1634.7695     478.4708    2040.1458     913.1521
     172    7364.7154     612.1711     499.8348     496.4887    1058.2880     449.0326    3191.4619    1057.4383
     173    8120.8581     393.3637     613.9764     717.0226    1569.3946     625.8473    3355.3662     845.8871
     174    6570.9949     917.2847     319.4488     296.9326    1337.5727     416.5400    2573.7367     709.4795
     175    6874.7166     639.7328     344.6332     327.7486    1740.3005     619.3140    2321.9455     881.0420
     176    6656.5748     453.0852     424.1737     574.7726    1270.9525     543.4902    2744.3173     645.7832
     177    8699.9780     601.5130     434.9321     368.4667    1748.0875     797.8220    3746.5718    1002.5850
     178    5788.1859     345.1986     248.2110     354.6182    1318.0434     445.7213    2358.9697     717.4236
     179    6436.9474     509.8117     378.2557     360.6632    1402.0227     523.4424    2460.5304     802.2213
     180    5509.8769     330.8650     259.0551     370.1457    1271.3715     481.2514    2101.8471     695.3411
     181    7970.9583     422.6153     360.2245     436.0981    1988.4263     616.9019    3360.7942     785.8981
     182    6215.3558     467.8685     339.3078     496.9454    1190.8827     545.2923    2336.9125     838.1467
     183    6505.9540     426.4562     283.3081     277.4996    1375.0441     434.5968    2912.5179     796.5314
     184    8010.4169     552.9260     587.3170     718.3718    1865.5746     502.1004    2659.9103    1124.2167
     185    8029.3066     464.1190     414.9398     431.9241    1981.1623     502.7433    3502.1445     732.2736
     186    6201.2038     605.7926     426.2318     328.8242     978.7719     364.3749    2762.8765     734.3320
     187    8481.8366     646.0933     700.9120     384.1816    1876.8711     691.6038    3281.8655     900.3094
     188    5546.0823     459.8721     304.8894     277.8333    1381.7916     456.2180    1893.2998     772.1781
     189    6776.0969     469.3765     484.9059     702.1752    1126.5465     534.0345    2655.6333     803.4250
