#Frame         global     SA_00002     SA_00003     SA_00004     SA_00005     SA_00006     SA_00007     SA_00008     SA_00009     SA_00010     SA_00011     SA_00012     SA_00013     SA_00014     SA_00015     SA_00016
     159    9592.6855     400.0058     394.4627     356.9938     319.7159     328.0469     382.5778     377.0332     285.7392     312.1377     314.5071     321.3050    1090.6925     450.1239    3240.4413    1018.9028
     160   11157.6088     525.5099     562.1274     513.5235     339.2875     244.2688     250.9076     421.9726     455.7962     425.4874     320.8940     459.1271    1348.9851     589.0071    4004.4814     696.2333
     161   12161.6019     498.3244     329.8184     258.3358     267.2308     245.2603     223.6812     301.9376     334.0646     382.5170     413.4789     641.0427    2072.0381     706.9889    4205.8815    1281.0017
     162    9688.0672     341.6882     244.0875     301.7032     327.4778     298.6737     318.4276     303.9637     273.6225     275.3750     300.4147     375.1842    1418.4278     649.0755    3329.7063     930.2396
     163    9838.8645     768.2515     702.9471     441.5449     323.7560     352.2770     268.0957     221.1983     207.8147     223.9886     340.2352     313.6140    1605.2662     600.4483    2657.1671     812.2598
     164   10099.3875     669.0513     428.0693     355.1065     321.5016     268.3146     464.1298     517.9956     448.4162     457.4915     352.2083     371.3139    1962.8376     475.3098    2462.5615     545.0801
     165    8923.8266     306.4607     214.2905     198.8027     187.8484     233.6577     268.4336     220.8250     295.1716     366.7396     293.8185     307.0168    1623.9590     474.9765    3255.3634     676.4625
     166    9828.0268     330.3520     268.8317     248.1991     254.1304     312.0589     378.5444     334.2276     223.0358     238.9519     360.2309     397.8566    2040.6390     538.6369    3190.3909     711.9407
     167    9898.2528     556.4489     425.5159     257.8936     284.2886     333.2731     421.2762     384.3945     341.7896     232.5065     209.2954     242.2798    1351.0336     484.8394    3594.0643     779.3535
     168    9609.8073     607.7484     551.4219     522.8508     544.5152     498.0009     367.8966     292.3482     242.8130     238.8319     208.0875     235.5369     862.2214     429.2435    3091.7887     916.5024
     169    8604.3962     598.4667     313.9928     254.2166     349.4782     426.1971     371.1634     309.4743     386.9873     357.4070     284.7759     263.2352    1035.9132     348.8536    2663.1563     641.0786
     170   10812.2091     451.0993     292.2528     408.4552     401.7541     414.2629     469.8553     300.3167     268.1270     414.7722     428.4421     401.2373    1291.8990     509.8809    3655.7906    1104.0635
     171   10099.9651     501.7044     366.3794     304.7551     246.5684     260.2203     326.8033     348.0251     291.5739     308.4670     265.3214     336.3356    1903.6326     434.7359    3434.5756     770.8672
     172    9694.5272     365.2570     285.4948     279.3898     268.1534     367.4808     410.9086     402.5810     412.4604     420.5654     567.5129     457.9091    1099.1824     501.6007    2983.3431     872.6881
     173    9891.6014     310.0933     197.8858     169.2376     174.3098     265.4313     293.1948     353.5804     298.7003     306.1584     382.4687     302.9438    1615.8727     572.5465    3883.4635     765.7144
     174    9477.5666     553.9451     538.5362     432.3536     385.0786     230.1646     194.8403     185.5652     195.3298     244.0330     364.2687     372.5497    1416.9398     424.7947    2961.6222     977.5448
     175   11640.4784     764.4260     726.5936     516.6985     515.5738     441.3207     346.5048     287.5091     352.5768     393.5245     428.7686     339.8254    1284.8850     598.8112    3726.5113     916.9493
     176   11889.4149     343.8737     393.8138     440.5988     357.5798     378.6281     365.3492     427.6288     409.7339     302.8698     349.7797     851.4373    1859.1007     671.1285    3868.7923     869.1006
     177    9261.4256     362.7056     302.9593     229.4794     201.8030     209.6361     224.6984     277.9699     444.2778     441.2997     326.3774     254.2015    1386.5949     369.6302    3106.9372    1122.8555
     178   12172.2191     541.8934     432.5071     306.8131     484.3970     473.1695     467.6468     458.5771     369.7736     637.9533     444.5956     347.0902    1910.1817     739.8496    3192.7351    1365.0361
     179    7939.1327     513.0937     477.5674     322.0138     209.2064     210.0324     246.5338     301.1880     298.9542     295.2067     284.4549     381.3577    1182.0874     316.7461    2214.0894     686.6006
     180   10574.8356     832.6039     729.7418     394.7831     310.9885     291.7542     405.9504     298.4216     213.1114     184.7465     190.4603     249.4349    1634.0895     446.1881    3562.4802     830.0813
     181    7943.5536     472.6480     345.5658     285.9888     272.2588     261.5818     299.8825     322.8276     264.5334     304.1931     321.2779     279.8419    1039.4324     365.4332    2476.9918     631.0965
     182   10608.5374     587.9876     265.8314     262.5288     266.8773     348.9815     439.3529     785.3519     448.4196     267.3041     241.5230     277.7302    1618.4197     570.1992    3482.0206     746.0097
     183    8821.5565     446.0403     419.3982     365.0995     297.6006     347.3213     266.7743     228.7273     248.3546     253.7293     258.5277     228.0107    1069.1007     315.2334    3092.2802     985.3584
     184    8591.3640     555.0966     581.4435     352.0251     265.4252     323.9020     296.3725     221.3329     199.0022     199.0625     251.6891     383.9681    1496.3625     535.2455    2240.4301     690.0062
     185    9659.5274     405.2652     414.3258     481.2742     517.0888     396.3629     505.5504     435.3614     378.0312     377.2934     310.8759     378.0492    1525.6783     599.1651    2304.7569     630.4487
     186   11215.5724     589.4434     398.2527     294.8379     388.4090     486.8670     463.9274     623.7267     362.7418     441.7378     486.6882     340.9436    1263.9943     863.9376    3427.3638     782.7011
     187    9333.9937     525.4625     350.0656     245.7961     303.0878     307.0434     265.0545     294.0879     535.4564     498.4977     336.2535     328.0653    1066.7074     414.2497    3052.4045     811.7616
     188   10685.6713     824.8744     740.3854     304.6148     206.9230     248.8413     383.1565     417.2633     293.6303     300.2967     320.6665     488.3933    1379.8265     467.8318    3344.2423     964.7254
     189    9755.5778     445.1261     221.8912     196.2098     190.9892     218.1015     335.5864     349.8975     386.9752     431.2520     547.1014     353.4512    1644.3414     514.1178    3091.3890     829.1480
     190   10228.6748     330.2584     261.9153     266.7715     285.4388     228.5822     298.5491     418.3344     390.6767     377.2401     546.1769     734.7683    1544.9798     586.6990    3211.1383     747.1459
     191   10755.9583     884.9886     667.1454     375.6988     432.6421     424.2017     326.6402     280.1171     387.3047     449.7671     316.5823     284.4457    1304.4424     793.3386    2945.7719     882.8716
     192    9188.8864     682.6279     411.7213     370.6372     343.4067     392.5970     311.0764     254.2983     209.0451     218.4375     336.0107     426.8014    1068.3096     713.9866    2712.1421     737.7887
     193    9844.8513     556.2786     410.5270     341.7667     299.2721     259.4584     274.0573     404.2836     349.3975     284.4120     312.0312     480.6961    1745.8162     603.7973    2909.5830     613.4743
     194   10669.1749     552.7736     481.4869     476.3848     414.6278     303.2331     445.7553     532.8598     354.2341     347.2941     302.4570     275.9145    1522.3077     597.8389    3045.6599    1016.3475
     195   10067.3119     613.0463     596.5587     326.3735     286.0264     377.6456     305.7311     227.0392     207.9294     294.7691     458.8377     615.3636    1141.5539     381.6510    3308.4864     926.3003
     196   11067.3029     558.9029     657.1120     836.7766     572.3031     381.5171     227.2046     219.9306     220.0729     219.5522     264.0739     443.3113    1782.5572     614.6557    3419.5884     649.7443
     197    5991.2569     310.1599     201.5744     175.0856     182.8971     186.1901     188.8871     179.7144     175.7163     168.5513     177.1939     234.3424    1001.3466     415.5153    1770.5098     623.5729
     198   11609.2319     569.6722     632.8752     572.3420     484.5410     463.1810     495.1899     324.2183     318.7520     379.4460     403.8253     495.0248    1688.2659     669.3596    3066.6382    1045.9005
     199    9942.6264     694.4868     453.8128     339.0016     290.6562     312.1113     385.4220     284.2469     201.5162     219.1164     243.8811     308.9925    1966.1143     500.2100    3113.7924     629.2659
     200    8507.5077     583.5995     356.3523     350.8225     318.9917     282.0316     251.8446     228.6370     273.8791     278.4787     334.7866     305.8985     970.9748     407.4885    2656.2905     907.4317
     201   10367.4326     454.1030     329.7565     288.7295     393.7467     460.1211     368.8001     344.2834     484.5830     512.4542     459.0640     420.6809    1365.1672     471.5982    3030.9487     983.3961
     202    9518.7152     406.8239     287.5059     218.0624     216.1484     221.0589     300.5882     349.5660     468.3641     724.4751     518.7159     412.6088    1599.3683     538.3155    2636.9035     620.2103
     203    9705.1180     386.7131     336.2651     414.7667     377.6403     346.9194     354.7655     210.8745     290.2436     447.4610     394.6131     379.9743    1197.1384     537.3514    3431.0919     599.2997
     204    9798.2864     405.2329     439.7096     506.1779     433.7308     362.5817     319.1487     299.4544     396.7774     426.2803     419.2677     430.8676    1177.9027     623.4379    2671.7676     885.9490
     205    8727.2147     501.9634     444.8635     283.5161     283.1806     291.5463     327.3048     374.0161     327.2486     229.1417     230.2099     338.8460    1275.5828     543.3094    2403.4128     873.0729
     206    8827.8565     480.7826     534.9224     395.2094     247.7837     218.4755     213.4636     271.1604     342.0889     266.0140     263.1205     300.0408    1347.1601     554.0370    2302.7074    1090.8902
     207    9034.0682     309.7444     206.3259     186.5687     221.7843     273.7903     278.6141     278.5539     411.5317     445.5646     350.3958     327.8189    1378.2487     623.8533    2880.7985     860.4750
     208   10010.4851     531.0495     418.6480     278.0417     239.2609     232.4451     230.3283     285.7402     337.1145     505.9068     670.9072     527.7914    1402.5912     525.2052    3009.7180     815.7371
     209   13275.4018     890.2411     495.9081     405.9424     462.1157     626.5499     431.2824     311.0859     285.2176     327.4144     332.9357     392.0555    2184.8421     698.1625    4592.2076     839.4410
     210    7542.6848     335.1434     361.1305     314.7602     288.7765     326.1802     298.1475     220.9305     203.3074     202.1817     225.6020     260.5916     960.8195     344.0186    2685.3147     515.7807
     211   10461.3088     607.6811     378.9233     410.9617     305.4413     194.6472     197.3860     224.5230     374.2157     467.8126     340.6635     330.9605    1233.1958     533.8049    3921.2131     939.8791
     212   10680.6364     427.7663     288.4683     287.4770     441.8587     429.9764     287.4568     218.1988     275.2089     301.1505     256.0492     320.6030    2029.0359     561.7650    3867.3836     688.2379
     213    9449.1685     762.4658     484.0539     420.5186     475.4294     369.4779     379.3333     227.4841     273.0096     312.3032     258.1486     265.0552    1138.0460     482.4157    2746.9892     854.4380
     214   13425.3581     747.1632     542.7704     332.0010     281.5553     308.4156     309.5494     340.1159     562.8963     496.0999     570.8176     719.7614    1692.2985     830.8329    4245.6133    1445.4675
     215    9811.7043     508.7706     300.2772     311.7469     422.1236     482.8172     369.6010     366.5487     273.4251     269.8864     237.3407     266.2645    1331.1368     588.9154    3309.9927     772.8576
     216    8659.1232     347.6940     259.5143     269.8137     297.6728     312.0361     329.4512     297.8265     238.3205     241.0779     317.6525     516.3712    1621.4821     499.7817    2340.5853     769.8433
     217   10161.9673     340.3958     432.2668     566.1675     418.3654     312.9740     286.1446     315.6056     285.7735     307.7439     307.8797     268.5394    1863.6951     500.5788    3281.8446     673.9927
     218   11466.8592     766.7878     484.6346     547.4814     492.0653     343.2312     213.2817     196.3580     229.9410     366.9001     437.8958     410.7425    1661.5700     567.1917    3883.9553     864.8226
     219   10586.1507     619.8183     515.3737     540.9652     627.2051     361.1037     484.0493     475.3967     370.0828     275.4499     267.5519     354.5030    1400.9497     589.4530    2829.3840     874.8644
     220   11512.9674     648.7633     474.2683     453.0579     454.0413     381.4409     310.7177     330.0073     426.8436     465.1119     544.2076     308.6039    1356.8658     559.8113    3607.0696    1192.1571
     221   10974.6651    1007.2717     706.7016     414.0560     360.9856     355.2654     326.7937     346.1760     375.5764     231.6261     221.2115     360.3448    1278.4044     377.4327    3796.8328     815.9862
     222    7470.4460     356.2537     235.4578     212.2645     214.5566     225.0854     211.4349     227.8895     217.7753     230.4969     227.4012     260.5915    1278.4334     520.0300    2285.1813     767.5939
     223   10678.2203     700.7664     836.8153     557.2124     335.3504     240.2447     201.3644     195.9833     218.6329     315.0471     313.1871     402.9037    1955.4661     665.1900    2923.3283     816.7284
     224    9054.7153     408.3287     386.9996     391.1394     299.6459     248.9853     224.4955     297.8848     283.6492     284.8568     402.8261     587.9495    1402.8293     609.1289    2480.7636     745.2326
     225    9656.8023     791.1769     441.7440     397.3326     329.0919     337.1422     273.4825     201.3166     225.9653     270.4189     292.9702     351.4489    1729.3960     473.1947    2809.0291     733.0927
     226    8091.3453     500.4049     419.2754     317.4363     236.8955     220.1518     264.4689     319.8175     304.2349     307.8292     329.1764     330.1760    1298.1019     372.5363    2290.5386     580.3015
     227   11794.1921    1064.1903     627.7482     334.3075     324.9161     456.8632     441.0363     501.1509     397.6428     286.6799     339.3353     354.0825    1662.6100     557.9412    3371.4684    1074.2194
     228    8837.4862     587.3833     436.8666     335.6274     267.1778     190.5611     186.5891     206.4341     337.6928     471.1317     352.6423     299.5747    1089.9295     543.4536    2778.0090     754.4133
     229    9512.3899     364.0778     321.9929     468.4253     456.9146     387.1937     351.2711     262.8114     221.0040     231.4314     275.4144     326.1854    1575.8080     572.3528    3014.0267     683.4802
     230    9480.5396     350.4651     281.4341     299.7094     356.8445     385.4067     456.7321     293.8166     274.7377     358.6998     550.2869     568.1830    1158.7939     442.6384    3041.8128     660.9786
     231   11591.8580     601.8323     329.1230     411.3244     459.9009     512.8131     363.7877     355.0783     343.1672     370.4393     426.5796     665.2415    1185.7945     554.1874    3870.8207    1141.7682
     232    9554.9348     517.0627     336.3296     229.7363     216.6224     283.2552     506.3009     599.7172     309.5989     249.8486     220.4338     223.3408    1058.0165     414.3793    3380.4025    1009.8903
     233    8509.6992     361.9782     326.3120     318.0902     361.1013     430.1110     382.2585     284.6181     219.7635     215.8282     300.6053     434.9440    1111.2176     521.3471    2337.0379     904.4863
     234    9667.6676     534.2035     326.6357     290.4471     453.3722     579.4157     352.5068     286.8395     240.7609     218.6973     251.0487     330.7373    1338.9379     474.9905    3093.7110     895.3634
     235   10220.0923     400.4683     412.5074     478.2041     392.9297     487.0229     322.8757     228.6890     272.2598     346.1327     297.8055     460.3132    1366.4859     400.7134    3650.1257     703.5591
     236    9524.0775     554.8379     420.7989     274.2466     289.2063     289.7814     308.7288     436.7785     510.4387     234.6912     184.0076     256.4870    1204.3652     544.6411    3247.5581     767.5102
     237   10195.7422     324.5775     214.8704     197.2290     226.4856     290.3335     292.0387     382.5811     497.2702     678.8020     484.7881     318.8348    1397.0391     633.5673    3493.5071     763.8178
     238   10387.7160     449.6831     563.9417     678.1245     485.7939     442.8703     403.4696     220.1642     234.5946     320.9006     337.1940     334.0149    1232.5662     433.1834    3271.2162     979.9988
     239    8353.7777     355.0456     282.5780     266.8791     245.3595     206.5878     242.8048     261.3670     275.8077     336.0648     284.9467     266.1649    1649.2013     546.3226    2245.3964     889.2515
     240    7066.1489     436.4742     294.0383     225.8102     207.5050     226.9575     229.5406     189.2668     172.9739     217.1069     255.2673     295.0772    1091.4158     450.7753    2057.9353     716.0044
     241    9056.8728     600.4831     720.3406     526.0367     263.4171     218.8569     236.4479     261.2778     209.0125     214.6054     271.6783     305.0384    1046.9082     646.9369    2684.4948     851.3380
     242    9177.5132     521.6894     429.0889     442.9742     443.8315     452.3457     365.8991     273.0042     260.0521     279.0127     281.8731     223.0083    1146.7616     402.1122    2880.0858     775.7745
     243    8261.4808     559.5152     569.2790     548.5219     301.0707     230.6425     182.9172     167.3127     199.2216     193.2082     195.8739     222.1725     987.6443     401.8515    2848.8555     653.3942
     244   11157.1544     555.2279     415.2732     357.9443     325.2591     350.9697     344.1825     589.6299     741.0702     535.8917     348.4728     341.1821    1138.1565     511.3307    3877.4015     725.1623
     245    8394.0016     324.5585     218.8338     206.2133     204.0843     178.9929     201.6564     235.2469     343.2398     302.9902     210.2754     234.8971    1191.9624     493.9440    3268.3523     778.7543
     246   11201.6220     517.1073     479.0505     415.0852     422.6685     429.4307     296.8562     286.4169     330.8507     315.6042     334.9445     603.2501    2251.2177     617.8110    3097.4491     803.8795
     247    8249.1173     440.2068     327.3542     412.4641     519.4406     370.9184     228.2915     208.6239     194.9109     174.0079     184.6167     283.9711     868.9691     416.6574    2932.2808     686.4039
     248    8478.0828     588.3597     298.2283     207.2091     218.7560     324.6916     418.0383     332.9839     314.8215     296.6546     346.3479     324.8206    1000.0586     427.9475    2539.2770     839.8881
     249   12287.7645     548.4579     792.9788     645.6201     431.9236     297.9940     273.6760     320.7547     316.3856     382.3926     318.7397     282.0839    1580.9364     826.7122    4366.0681     903.0408
     250    9607.4506     402.5744     253.0413     256.4212     323.3795     420.0775     369.3376     275.3160     315.6249     339.6775     378.5840     401.8502    1495.9172     599.7801    2974.6720     801.1973
     251    9730.1716     641.1395     499.3016     317.7931     532.8563     570.9483     431.9680     251.4305     224.7614     234.0243     215.8602     214.5710     866.4659     383.6931    3298.8328    1046.5258
     252    8050.4618     625.8022     392.6028     290.9655     246.1034     226.2138     215.5182     214.5167     214.2270     218.0322     208.0027     220.5790    1123.9469     404.0695    2652.0084     797.8734
     253    9877.5499     455.6709     208.2663     179.2613     196.6389     301.2589     354.9692     381.7741     323.6237     322.8916     358.3141     379.4408    1538.3740     818.2471    3487.2175     571.6017
     254    8597.4335     451.2534     273.5338     270.8668     468.2289     399.6769     322.0350     237.2937     210.0395     229.4539     242.3826     408.3593    1362.6987     537.9470    2324.0726     859.5914
     255    9437.3622     498.2878     370.9692     374.9300     298.5993     319.2479     419.1892     433.6361     377.3387     282.8491     351.5544     411.8724    1844.8254     488.6352    2104.8801     860.5471
     256    7478.7649     409.4451     383.9505     328.3001     197.8499     178.6541     178.2026     224.8987     231.2874     254.3136     303.6250     340.0965     888.5439     366.2023    2457.1540     736.2412
     257   10820.1586     683.1948     445.8511     300.4363     345.8125     339.7850     331.6093     273.8893     343.3419     395.9708     450.4000     359.8305    1276.9871     629.2127    3758.7882     885.0490
     258   11100.3208     607.4407     521.7976     822.6414     576.4529     260.5860     203.0826     189.6598     187.1020     200.4576     318.9146     342.0267    1476.1150     622.8967    3694.1772    1076.9700
     259    9811.6724     334.6654     248.3415     244.1130     248.0982     323.4125     394.4972     298.2408     255.8643     340.1457     468.4170     577.5484    1338.0678     687.2875    3079.7088     973.2643
     260   11154.4428     516.9707     623.7328     588.3654     546.4281     574.5522     314.4022     309.3293     370.0382     301.2517     373.1452     347.5744    1461.1831     522.1237    3629.5794     675.7664
     261    9573.8407     339.9043     327.9383     392.7845     302.0009     266.2989     394.9157     526.4192     418.4770     372.1731     431.2214     537.0032    1143.3764     479.7801    2710.7402     930.8076
     262   10067.2431     719.9478     538.9544     283.0804     259.5662     283.9431     287.7794     297.9683     256.3211     298.4703     297.3438     307.5665    1317.7786     414.6230    3569.8489     934.0512
     263    9553.2987     590.0321     510.0617     433.2754     295.6004     217.4527     236.4698     255.4236     269.1374     277.7810     530.2842     646.1651    1229.5122     412.8121    2649.5671     999.7237
     264    8677.1613     477.6938     268.5643     276.0683     233.9676     200.4532     196.6588     225.9949     237.5960     228.7304     324.0860     361.1039    1603.0640     396.9027    3030.8636     615.4138
     265    9857.5023     523.0939     472.9865     285.6506     257.0696     323.1105     637.9629     604.1925     395.5734     320.8887     365.5371     323.5223    1054.4666     495.8233    2703.7697    1093.8546
     266   10392.9843     692.9618     339.5654     245.9281     212.0608     234.3641     331.1837     297.5918     343.3094     448.8553     405.5764     662.6242    1120.2392     396.0966    3598.2298    1064.3976
     267    8464.1267     496.9910     250.2095     217.5149     272.3009     385.5851     386.8897     377.6107     325.4517     280.6497     316.4065     289.0597    1173.3223     566.4152    2586.3764     539.3434
     268    9417.8147     479.8598     304.3987     312.5054     505.4441     708.2675     463.7381     278.3681     210.0246     198.0705     204.8697     266.7669    1490.5932     520.0593    2802.3151     672.5337
     269   10136.7803     377.6731     273.5589     239.1712     216.8333     277.5719     330.4298     327.6236     449.7784     608.2192     430.8715     308.8566    1182.2351     529.8599    3592.9003     991.1974
     270    7807.8976     397.3440     254.9702     223.7452     267.5480     305.8141     334.6020     350.4512     289.9098     314.4832     306.9783     348.3014    1232.1089     483.3110    2147.7889     550.5414
     271   10698.4784     534.0166     471.2736     328.4020     290.7096     260.4790     292.2237     355.8326     325.6535     339.7732     407.0634     637.6483    1324.4625     572.5268    3661.3194     897.0943
     272    7358.7948     356.9337     219.5702     205.3713     198.7147     189.9707     190.6381     214.5127     192.0821     197.1701     215.1183     238.2287     880.1145     363.5162    2915.5325     781.3209
     273    9630.8519     315.8774     211.7510     214.2609     272.5520     295.4967     223.1018     230.0915     374.9985     293.0890     303.2688     622.3781    1051.6710     425.2225    3935.9767     861.1158
     274    9020.5262     349.9165     289.6510     216.3506     185.2703     188.0049     264.6225     308.8054     221.7596     196.6087     206.5777     284.5803    1521.0671     484.1588    3538.5853     764.5678
     275    8691.9030     375.2366     307.9949     272.1994     282.6550     485.2987     591.3261     440.9621     321.3259     248.6831     255.8930     283.8149    1049.5395     511.2667    2659.2133     606.4939
     276   11061.7892     800.5361     578.1661     376.3329     464.2396     441.6585     415.5347     445.7900     491.0770     312.5277     366.7171     561.2134    1115.0118     506.1268    3187.7423     999.1152
     277    9501.6010     656.3470     464.6583     383.2566     420.1736     360.5283     288.4919     259.9763     195.4539     172.4153     189.1882     233.2935    1269.4565     407.2976    3519.4707     681.5932
     278   10218.7416     427.8635     279.0863     223.2430     209.7531     249.8125     446.2209     642.6563     489.6147     346.1821     320.4561     410.8081    1526.1522     525.1517    3347.0615     774.6797
     279   11590.6057     700.1866     869.6768     724.1849     387.6614     284.5215     325.2334     363.1122     270.9420     219.1279     260.1092     322.6605    1368.8047     523.6472    3918.9941    1051.7432
     280    6045.0356     303.9804     203.1871     177.3840     167.8085     169.3654     172.9113     175.8114     185.8290     170.4684     191.8532     211.7015     954.6155     279.7781    2062.2988     618.0428
     281   10288.6283     539.2127     475.0180     373.7503     483.3573     395.7658     478.2896     575.5128     506.4384     400.3603     238.0259     268.5947    1286.7028     443.6826    2877.3561     946.5611
     282    9114.8389     599.6754     357.0739     261.0883     234.0376     253.7626     351.6569     364.0126     223.8512     285.1930     370.7817     376.8595    1168.7053     389.5380    3118.7462     759.8567
     283    8921.6188     465.8273     270.8657     377.2579     448.5713     314.2693     257.5730     255.1808     247.0126     276.8078     261.1036     344.9490    1626.7008     495.9692    2718.7124     560.8179
     284    8622.2291     392.7255     305.5616     285.2150     242.9723     274.0252     269.3197     299.1822     284.2200     223.8841     349.9289     393.7741    1806.2792     577.2417    2078.2911     839.6084
     285   11257.6708     322.0510     233.6291     300.3758     406.1604     417.5697     339.9349     512.8985     449.9298     323.1860     432.0706     856.9513    1483.7545     512.1122    3574.2977    1092.7493
     286    8641.5689     371.8716     354.5975     324.3270     294.4315     270.4581     260.4351     299.0235     294.0920     295.0691     272.9743     351.3049    1421.8461     390.5178    2702.9471     737.6733
     287    9990.7290     452.1725     427.9425     242.7145     222.6035     341.9531     410.6027     388.3900     561.2856     477.8561     375.3888     379.9748    1402.5079     647.1180    2706.9369     953.2822
     288    9740.8264     405.3668     360.2962     398.2908     413.1975     265.2592     244.2467     381.0291     713.2048     678.3938     341.5229     290.7212    1465.9254     536.9066    2494.5598     751.9056
     289    7874.2581     414.9212     275.2633     269.3295     248.1955     231.0238     206.5867     210.0550     201.5067     227.9616     315.3460     352.4124    1220.8543     531.8878    2408.6923     760.2221
     290    9429.4535     357.3339     266.7489     309.4868     415.2680     282.4764     226.5000     206.2066     196.8432     234.8178     241.1012     327.1821    1482.9453     660.9702    3276.6018     944.9715
     291   10219.8060     563.6406     311.6041     293.3245     319.4558     409.9774     422.4214     345.5240     315.0297     536.2264     542.4661     531.7398    1405.7741     507.1859    2800.8814     914.5549
     292    9156.6946     382.2172     377.9618     334.9595     324.0968     385.3984     373.9929     379.2739     277.7018     239.6396     277.7347     297.2354    1236.1308     438.1669    2943.5386     888.6466
     293    8898.6955     369.1797     586.9619     402.6487     234.7980     225.4777     212.2915     203.8810     203.1994     212.6296     216.1594     222.5313    1059.9775     468.0541    3448.2926     832.6130
     294   11573.0559     599.8223     489.0682     453.0473     499.4415     699.0505     526.8931     422.8767     454.7188     353.1725     338.1986     318.0874    1679.7102     527.0299    3408.9975     802.9413
     295   10277.9276     327.7013     191.4848     191.4128     162.5828     178.3416     163.8302     242.5284     306.5782     299.6060     295.0927     321.4124    1969.7101     565.9052    4209.3870     852.3541
     296    9863.8739     438.0090     352.1468     346.8187     314.2191     322.4431     287.4783     302.0376     267.1526     235.3019     229.7734     235.8043    1527.8129     469.9740    3603.9033     930.9990
     297    9328.9244     747.7105     399.5098     294.2537     259.5320     224.6031     218.4315     263.2503     307.0922     315.3922     310.4188     374.4225     843.9578     366.9467    3439.3479     964.0552
     298    7015.0982     322.2726     207.1115     213.2582     244.9824     328.0522     297.8150     205.2714     194.4123     192.0957     193.7281     281.2769     991.1384     488.0161    2291.2341     564.4333
     299    9698.6700     516.2758     408.2857     440.9323     445.5091     464.7554     316.3133     307.1824     381.5126     436.6464     600.5892     553.3489    1012.4086     424.1303    2478.8803     911.8996
     300    8821.3594     449.5453     401.7986     251.4972     212.9828     202.8930     287.9077     329.6901     400.5414     363.9769     226.3526     261.6983    1852.1641     419.1107    2591.8304     569.3704
     301    8344.6570     681.8746     324.4963     226.9715     211.4131     222.5220     320.4000     278.4874     251.2466     338.8161     261.9221     273.2306     955.4972     383.1673    2753.3479     861.2645
     302    9212.1301     526.0844     463.2182     422.2176     400.5141     383.1428     330.8258     262.6909     297.6831     352.1274     351.8720     478.9633    1564.5787     455.5611    2276.4733     646.1775
     303   10906.2776     445.9963     271.6616     230.5388     293.4820     399.2349     340.4888     321.1553     651.9763     522.4150     313.1893     307.8565    1174.3542     612.3678    4047.4852     974.0759
     304    8562.0345     447.0210     300.6352     237.8990     192.4729     223.4320     250.3189     377.4963     488.6488     413.1134     245.9014     283.7516     956.8971     399.0404    2827.2961     918.1105
     305    8111.5992     393.2762     273.5815     246.5098     250.0350     257.0144     227.7191     201.8064     352.1402     418.3993     289.4040     265.3500     932.6029     457.0626    2833.0072     713.6907
     306   11011.9380     721.4485     353.8706     221.4400     254.6911     348.0375     401.3460     377.3915     355.3828     411.9667     610.6005     862.6361    1563.7802     451.4745    3097.5267     980.3451
     307   10831.3024     430.6575     449.0623     413.9152     485.8234     515.6662     418.1865     348.1129     337.7383     341.5377     363.6113     537.0569    1141.4675     526.7088    3606.5985     915.1593
     308    8499.0798     392.0300     510.6969     687.3956     448.0171     316.0196     224.8158     195.2017     188.0034     187.6362     197.4282     275.4131    1169.2120     460.2758    2705.7229     541.2115
     309    9407.5215     518.0661     343.9413     381.0667     332.4147     289.2639     334.2099     259.7558     237.4421     274.1865     261.0202     260.4252    1171.8423     498.3827    3411.0509     834.4532
     310    9504.0694     380.7672     367.1281     306.5362     232.2982     254.3866     317.8639     350.0923     318.6666     217.3123     203.7727     234.5516    1715.0245     797.1239    3019.6903     788.8550
     311    8587.9283     842.7154     347.0852     285.5423     229.3705     234.4956     218.2340     231.6613     288.9457     282.7274     279.6885     255.3307    1223.4994     517.2291    2823.0884     528.3148
     312   10060.1372     634.7811     718.9060     476.2537     248.8101     197.4635     205.4994     309.3723     430.5964     405.9075     498.2591     335.1947    1194.6884     488.5164    3090.0641     825.8245
     313    9866.1126     470.9988     479.7675     409.6959     297.7040     264.2929     296.8338     410.5006     368.3274     331.1488     356.3131     347.5428    1736.1916     417.7958    3048.2028     630.7969
     314   10385.4933     702.8573     413.1215     506.4129     442.1540     338.2513     336.8138     263.3243     261.7573     225.6486     239.5687     224.8642    1554.6030     424.3962    3383.5557    1068.1646
     315    9877.1071     505.8112     515.8938     455.7065     293.5911     251.8865     335.7550     280.2540     256.6805     216.5088     206.4562     273.3593    1379.5390     530.0637    3769.9068     605.6948
     316   10181.4187     581.0948     427.2984     364.3244     222.0662     207.7080     257.6410     451.3587     445.0444     499.4610     298.1931     309.6799    1395.9178     535.9602    3074.0907    1111.5802
     317    9326.8820     312.8576     244.1274     244.8373     255.0933     224.5064     276.1484     443.0834     513.6491     445.0584     366.1261     309.2520    1486.6247     566.7358    3118.6052     520.1769
     318    9764.1972     571.2705     450.6657     300.2917     273.6507     264.0763     275.9181     357.6458     326.8093     456.0307     442.7288     534.1132    1535.4147     469.1147    2793.6224     712.8446
     319   10157.7352     711.6169     312.5876     253.9400     205.3513     217.0548     279.0447     315.5442     412.1000     370.7914     280.6775     314.6450    1403.5510     511.6272    3811.6209     757.5829
