#Frame         global     SA_00002     SA_00003     SA_00004     SA_00005     SA_00006     SA_00007     SA_00008     SA_00009     SA_00010     SA_00011     SA_00012     SA_00013     SA_00014     SA_00015     SA_00016
      36    9043.6544     557.5101     528.6774     462.2757     329.0092     304.3737     229.9228     178.4150     172.8245     163.0493     162.2767     190.1823    1100.2588     622.5959    3377.7749     664.5083
      37    7433.2978     379.2253     258.2159     189.1735     179.7116     161.0854     173.3629     173.3791     161.9430     177.4417     211.5830     267.7537    1168.0462     445.6305    2777.2327     709.5133
      38   11722.0795     765.6899     566.6531     369.6196     404.1712     324.1394     450.4626     469.9701     257.4048     233.7843     351.7885     668.2683    1419.3432     531.1866    3891.9509    1017.6469
      39    9713.1849     437.5895     310.5941     272.6557     279.9049     367.2534     479.8659     447.9003     326.2083     277.8424     282.8223     394.3199    1606.8404     551.5369    3135.3931     542.4579
      40    7763.9197     315.4000     202.4860     176.9402     188.4597     243.4933     214.7004     211.2093     215.4766     388.1143     344.2183     321.6874    1017.2582     472.6044    2856.2400     595.6314
      41   10654.2134     420.5676     374.1072     284.3876     374.6354     443.7575     330.2334     280.1728     255.5706     238.2139     271.4728     368.0490    1972.2104     673.2403    3199.2563    1168.3386
      42   10745.5592     499.0663     521.9870     468.3982     460.5820     337.4182     382.6736     383.4002     330.9186     349.5845     332.7251     490.5799    1332.4478     468.7987    3347.7439    1039.2351
      43    9561.1773     678.5198     493.3995     467.5824     322.1322     422.2290     426.9456     233.1841     231.4497     252.0244     303.8253     341.0042     977.8296     424.2128    3098.7434     888.0953
      44    8988.1248     428.2424     381.1210     328.1429     257.8772     230.7617     263.0894     318.5457     342.3400     328.8960     321.1225     366.8491    1731.9374     421.6560    2378.0723     889.4712
      45    9688.5353     361.8203     255.4041     244.1162     334.9921     406.4380     371.8018     352.3093     256.1273     371.9630     399.9633     387.0448    1655.3149     729.0401    2695.1498     867.0504
      46   10144.3553     549.8292     446.6346     460.8644     277.4297     243.1558     228.5661     222.6872     307.3000     375.4406     370.0513     512.0560    1477.3481     559.2022    3363.3822     750.4079
      47   10971.6340     428.1424     462.7546     393.9848     408.2936     447.3547     526.6504     305.4932     261.4583     355.4095     346.9650     414.4255    2196.5673     591.2764    2865.7993     967.0587
      48    9808.9170     418.5201     360.5123     322.4523     376.3646     250.7063     196.2598     198.8304     196.4945     204.0106     305.9882     393.5494    1754.6145     573.9634    3547.2680     709.3827
      49   11001.1182     600.1137     384.9646     379.1097     525.9009     621.7644     632.2508     467.2143     229.2210     201.2966     205.4127     278.2193    1188.8949     524.9661    3784.6568     977.1323
      50   13429.1507     772.4645     619.0091     320.9372     246.1547     301.4381     397.5166     338.6196     389.9481     407.0876     316.9739     410.1835    2292.9065     530.0819    5264.7261     821.1032
