#Frame         global     SA_00002     SA_00003     SA_00004     SA_00005     SA_00006     SA_00007     SA_00008     SA_00009     SA_00010     SA_00011     SA_00012     SA_00013     SA_00014     SA_00015     SA_00016     SA_00017     SA_00018     SA_00019
      31   11397.2091     455.4721     524.9931     874.4716     395.4001     333.3135     411.2940     579.0569     726.7818     607.5436     305.1473     196.2091     184.6682     177.9156     187.6340     301.7539     421.0522    3570.8003    1143.7019
      32   11700.3048     528.0005     578.7508    1691.8732     502.5780     362.9261     328.4763     399.3459     306.9507     493.3918     689.5396     467.8006     283.2264     209.3206     218.1709     291.8117     347.9139    3381.8149     618.4128
      33   11455.6265     560.8267     578.2226    1651.5905     453.7399     330.6941     450.1633     455.6454     423.2116     274.7089     226.9560     182.7708     185.2973     175.2949     189.5699     185.3679     234.1115    3801.0704    1096.3848
      34   14352.0118     703.0952     631.8767    2380.3103     644.8879     418.6036     368.9151     453.7145     507.6217     380.3949     391.9531     394.4559     473.5292     417.2226     412.5178     312.2999     312.5859    3945.4008    1202.6266
      35   12671.4627     846.9220     540.7569    1540.4533     856.6440     796.5285     636.5278     397.5372     412.4789     369.8597     322.9316     408.9774     386.6838     249.6889     272.0504     250.3128     244.3650    3141.0317     997.7128
      36   10486.5263     400.1881     364.8028    1285.8910     408.7289     269.7253     237.5071     327.6556     368.7060     550.5500     610.9249     444.9968     341.2555     348.1153     361.6492     374.8731     389.1157    2695.6146     706.2264
      37   12413.3683     560.8651     634.7132    1779.0447     544.9401     367.2426     415.1690     389.2799     356.2682     349.5737     468.7786     482.7438     261.9046     211.5069     263.6184     352.1227     470.7916    3664.4161     840.3891
      38    9779.8694     306.1769     263.5505    1376.4038     415.3345     302.5697     292.8205     244.5473     253.8116     285.4838     286.1499     311.0778     226.9185     204.6985     252.6421     437.3573     522.6911    3005.9343     791.7013
      39   11497.9658     496.5923     517.3349    1361.6899     420.6984     430.9701     338.4703     207.4614     203.4923     272.5468     311.0227     296.7798     217.7753     196.5832     240.2007     452.8579     754.5318    3861.9895     916.9687
      40   11549.4378     549.8377     508.5510    1220.4518     371.3459     298.3900     296.8309     260.1114     299.3727     342.1407     365.4228     474.1591     699.4495     401.9507     236.9631     264.7742     366.2372    3614.7440     978.7051
      41   10593.0116     596.8272     581.9773    1486.0184     273.1012     247.0037     254.7465     269.7673     225.3037     197.3479     230.5323     287.8840     315.1352     370.1965     408.6884     428.8154     453.9168    3199.4246     766.3252
      42   12216.9591     594.5269     673.9425    1624.7250     401.9245     250.6428     264.5397     375.4033     415.9762     352.9071     437.1692     356.7703     250.1016     313.7760     356.3386     272.2736     441.2660    4078.3925     756.2832
      43   12503.0145     360.3077     310.5681    1229.8515     651.5543     606.6832     434.9756     459.5265     378.9930     414.1515     458.0452     293.4357     360.3087     467.9411     464.4046     337.0084     361.3545    3672.7598    1241.1452
      44   11461.6658     668.6954     436.1945    2103.9382     418.1313     219.6887     211.9736     277.7811     328.0017     356.1500     317.3953     230.5328     252.9150     327.1847     368.0624     310.5148     352.0427    3162.5395    1119.9240
      45   11149.5795     872.1440     889.9479    1239.8912     374.7214     321.6959     235.3225     226.3525     225.5421     210.9799     232.6846     286.1466     371.8574     488.0452     468.9448     337.3078     410.6452    3169.5553     787.7953
      46   10668.8389     662.8713     481.1662    1519.0958     325.5172     298.8076     304.5671     552.8473     754.3420     467.5281     382.8302     250.8315     193.0291     206.2141     254.1722     391.4201     375.8462    2507.2557     740.4970
      47   11046.7348     551.1983     449.9803    1659.6118     642.3442     470.7053     392.7978     580.9414     497.5899     319.4123     298.1330     240.0890     225.4311     200.4804     200.3200     268.1799     394.2844    2684.8068     970.4291
      48   11144.2172     364.2180     313.9858    1707.6544     510.5364     530.9510     478.5127     290.3627     244.2796     242.4749     266.1831     377.3865     402.7090     344.5674     252.8825     355.4472     537.0136    3127.7782     797.2742
      49    9024.4560     386.6501     381.2494    1409.0744     379.9907     267.4746     269.7327     224.9365     223.9209     232.0048     295.0802     275.8080     312.7775     391.9464     270.0164     257.4788     283.2026    2698.4558     464.6562
      50   12198.6728     442.4754     455.2810    1594.4756     534.3069     408.1762     443.3890     424.3455     394.0463     497.5767     329.6384     316.7022     394.3997     481.8879     425.0321     467.6685     609.3090    2832.6987    1147.2636
      51   13033.5326     585.0157     607.1259    1766.1515     407.7246     329.9782     296.5725     584.7095     591.8821     494.2862     308.6658     308.2127     295.4935     287.7824     352.8259     247.1461     261.2810    4538.1004     770.5787
      52   11486.6205     522.0899     682.4247    1545.6890     420.9297     302.9606     355.7532     413.6606     329.6501     328.4597     413.8481     252.0008     242.5791     264.9363     453.3476     476.8719     498.2904    3173.9773     809.1515
      53    9899.8000     674.9898     601.3817    1617.7373     395.8156     328.6828     208.4994     177.2799     159.4716     161.7966     157.1561     172.2844     192.9772     281.5437     392.2067     463.7024     525.3860    2821.9608     566.9280
      54   12366.7455     435.1187     404.2021    1802.7234     697.6846     459.5109     251.4758     261.0689     290.1251     315.8497     300.9751     258.8413     212.6772     254.6280     387.7690     351.9033     405.5160    4430.5680     846.1082
      55   12192.7666     542.0190     444.3172    1345.7547     453.6461     419.4356     370.7558     466.3863     277.6132     307.4097     573.8651     562.1477     536.3260     398.8135     276.4810     346.7685     373.0362    3523.4130     974.5780
