#Frame         global     SA_00002     SA_00003     SA_00004     SA_00005     SA_00006     SA_00007
      78    4793.5057     420.6782     340.3171     976.7023     362.3456    2219.4732     473.9893
      79    5642.6428     508.9078     465.4472    1301.9354     348.9767    2303.4998     713.8760
      80    6096.9973     373.0630     289.8316    1448.0295     446.3743    2771.8042     767.8946
      81    5345.5430     372.7588     336.9854    1425.0381     529.5800    1894.3176     786.8630
      82    6602.3695     345.4487     391.2854    1833.0769     582.9900    2907.1729     542.3956
      83    6530.8889     391.1372     414.2147    1751.2084     512.7290    2793.9244     667.6752
      84    5968.7261     426.7370     312.3070    1209.6083     386.1145    2915.9292     718.0301
      85    6252.0121     393.5856     311.8175    1170.2143     526.7364    2921.9624     927.6960
      86    7309.7167     602.3585     566.2881    1801.7487     637.1066    2988.4407     713.7742
      87    5591.0816     411.5512     333.7932    1096.6003     296.6487    2665.8885     786.5997
      88    6991.7065     512.2063     455.2897    1452.1811     410.0376    3411.5198     750.4720
      89    6910.7367     420.8748     483.9272    1473.3106     538.3598    3206.4583     787.8059
      90    6582.5643     494.4612     315.4305    1260.4204     626.0937    2966.8686     919.2899
      91    6010.0145     364.0608     368.3164    1079.7391     401.4184    3038.4031     758.0766
      92    8202.3738     490.7110     497.4964    1907.5706     463.8081    4048.3565     794.4312
      93    5307.1067     331.0613     265.8963     935.5865     313.0890    2693.1320     768.3416
      94    5862.7113     571.0985     349.5034     906.9030     466.1059    2826.8819     742.2186
      95    6500.5362     752.6350     486.5431    1658.8114     505.9621    2485.9134     610.6711
      96    5195.4335     470.1861     396.1841     975.4888     365.2510    2476.4147     511.9088
      97    9389.2320     650.9045     637.7232    1949.3920     600.5921    4493.4658    1057.1544
      98    4994.2254     369.9370     293.7531    1227.9754     455.8507    2158.6412     488.0681
      99    6086.3605     330.2628     284.0997    1315.7150     472.9435    2957.9807     725.3588
     100    6928.0093     716.2638     549.4205    1591.9865     626.7859    2767.0911     676.4615
     101    5429.4369     302.8077     232.3823    1326.1938     448.2153    2535.9833     583.8545
     102    4575.9257     323.8602     245.7575     889.1022     344.6450    2214.6065     557.9543
     103    5888.6181     330.6725     374.9553    1377.4694     432.5786    2775.9771     596.9651
     104    6903.0582     639.4122     449.4236     955.6402     453.6699    3580.9935     823.9190
     105    5468.0254     356.9141     266.0180    1012.3215     488.2786    2714.5019     629.9912
     106    6813.1529     308.1422     279.6916    1326.1453     511.6324    3550.2188     837.3228
     107    6678.5997     398.1006     450.9596    1062.6946     459.7762    3507.9102     799.1586
     108    5892.4257     384.4085     343.2576    1183.3707     353.5771    2819.1787     808.6330
     109    5979.4571     678.3209     462.7517    1201.7479     531.1292    2470.7040     634.8034
     110    5464.8558     348.4578     285.9254    1403.2095     428.9554    2469.4807     528.8270
     111    6931.9647     423.0052     300.3793    1625.5936     426.6371    3283.3454     873.0041
     112    7717.7183     533.7539     338.1754    1239.6051     472.0575    4139.2785     994.8479
     113    6309.0093     352.5221     351.1944    1031.9467     591.2610    3255.3817     726.7035
     114    5999.7244     499.9248     440.8116    1080.5942     475.1572    2771.2844     731.9522
     115    5279.4337     336.2323     282.3097     945.2458     335.0937    2573.7642     806.7880
     116    6085.1746     500.4172     411.1155    1238.4822     482.2876    2856.9521     595.9200
     117    6452.4475     733.4301     449.3497    1192.7570     486.3700    3050.6646     539.8760
     118    6889.9519     506.6457     336.8298    1610.2887     503.9769    3073.0919     859.1188
     119    5590.1978     474.4515     368.3345     909.3403     450.5708    2697.2076     690.2931
     120    7501.0449     443.3627     441.3638    1560.2386     543.8062    3842.6003     669.6734
     121    7287.6952     546.6104     543.6842    1169.1977     506.5730    3703.5044     818.1254
     122    6431.0934     457.0889     505.9474    1055.8160     496.2009    3097.0870     818.9532
     123    5451.9695     304.4365     229.3394     945.9329     377.6786    2828.4613     766.1208
     124    6007.5400     372.6449     348.4871    1203.9931     460.2389    2854.2893     767.8867
     125    8171.0560     644.8169     465.8467    1935.1388     619.0660    3641.2258     864.9618
     126    6577.3062     471.1301     380.4938    1427.5791     513.6466    2961.7036     822.7529
