#Frame         global     SA_00002     SA_00003     SA_00004     SA_00005     SA_00006     SA_00007     SA_00008     SA_00009     SA_00010     SA_00011     SA_00012     SA_00013
      45    6817.4215     443.2854     316.2645     265.7998     276.7329     331.8989     300.1075     254.0671     253.1300     858.6223     279.3344    2514.1503     724.0285
      46    9290.2644     740.5414     577.9507     586.2755     356.4180     249.6472     197.0331     194.2538     256.6397    1368.1044     609.0148    3483.6340     670.7519
      47    8646.6947     498.1434     387.9071     407.8326     532.4831     662.5092     661.8820     396.3823     355.5203    1023.3139     378.3248    2624.8382     717.5579
      48    8231.4118     479.0574     496.8552     498.9441     486.8749     354.0644     270.6939     259.2293     262.5171    1131.8113     450.4416    2968.3031     572.6195
      49    9178.3727     487.2806     380.1907     399.3092     435.4554     444.7922     508.1397     461.4205     382.0572    1152.6442     488.6250    3359.5288     678.9291
      50    9884.3427     340.5450     401.7734     516.4546     463.5221     541.5735     620.5306     587.7158     411.2605    1500.2651     792.6863    2971.7666     736.2493
      51    6777.5339     303.6303     194.9996     173.4945     183.4297     323.4654     266.2882     244.7547     426.2297    1246.3918     420.0503    2446.9367     547.8630
      52    8344.1831     335.0769     290.2112     425.6248     501.1334     446.3300     282.2980     228.2407     235.9643    1284.3442     346.6755    2901.6327    1066.6515
      53    7470.8633     530.4960     594.0797     359.2753     323.4470     215.2008     216.3629     221.2430     232.2839     796.2428     398.7771    2873.1419     710.3130
      54   10995.0972     400.8531     389.4613     491.4994     371.8321     260.4088     351.7136     650.2429     515.1009    1756.0361     498.1635    4127.0331    1182.7525
      55   10006.0063     711.8910     563.2958     274.1153     254.8599     386.5496     427.7503     367.2452     456.0237    1633.6197     421.3121    3767.9972     741.3464
      56    8050.2460     941.5730     384.5503     271.7196     231.8273     210.4226     231.4639     266.1131     404.1006    1567.1488     466.3603    2581.6967     493.2698
      57    9313.9007     875.7646     615.4686     480.0114     385.4611     289.1943     268.9039     306.5787     337.6893    1330.8427     558.5450    3131.1174     734.3238
      58    8113.0377     421.0089     372.5492     271.8101     239.9072     248.0864     266.9561     268.6853     268.4764    1406.7731     406.8459    3193.9784     747.9605
      59    8331.3138     518.5737     418.2148     374.2894     353.9166     340.2077     297.5169     364.4626     402.3031    1246.6017     488.5564    2865.0248     661.6462
      60    7606.7811     417.8902     285.7477     262.5519     230.4995     247.3222     327.5321     279.5694     304.9590    1094.0154     367.8226    3036.7293     752.1419
      61   10022.1593     756.3548     628.3829     462.3188     255.6910     192.4576     194.1886     227.3208     238.6499    1543.1184     558.7917    4006.8770     958.0079
      62   10041.2992     624.5520     425.6996     328.9007     278.6648     343.4600     287.7749     330.2821     435.8060    1437.4009     473.6654    3948.1268    1126.9660
      63    7610.5665     341.0261     263.0353     276.5214     222.0982     203.4853     209.4462     252.1407     294.6495    1062.2800     484.9733    3195.2067     805.7039
      64    7763.2224     308.1728     218.6844     191.4827     197.4238     243.4468     242.7859     239.7713     316.4973    1478.3096     423.2043    3220.7807     682.6627
      65    8420.2953     340.0098     300.7964     333.2228     373.2003     408.0935     395.2148     291.7982     262.3812     982.3891     467.0010    3420.5557     845.6324
      66    9434.2923     670.2498     423.7679     301.8369     393.2259     411.3411     388.2235     376.0199     350.1777    1313.0997     475.2067    3343.6736     987.4696
      67    6900.6324     336.6314     334.8753     301.3211     205.1424     270.4137     364.5821     332.0318     339.4819    1148.5679     435.7151    2353.1411     478.7287
      68    9035.6157     383.9251     382.7052     413.1156     275.2066     256.3078     330.9816     352.9262     493.8811    1543.4593     636.1468    3136.7375     830.2229
      69    9045.3232     559.1179     518.4744     594.0633     526.1671     449.4413     292.8968     284.6308     254.3893    1480.9600     430.9171    2624.4161    1029.8492
      70    8100.6195     424.0058     399.3954     382.2400     370.2796     303.4949     257.0664     239.7929     331.4414    1303.5736     608.8743    2799.5755     680.8797
