#Frame        RoG_ITP RoG_ITP[Max]
     239 13833788954130.7070 57283479731950.6094
     240 13929884133477.9453 57837584044769.2812
     241 14028954612355.4941 58385336562306.1094
     242 14132611235887.4277 58936468531805.2812
     243 14238513373265.2930 59485953550750.8516
     244 14339233237693.9180 60039703094225.2344
     245 14437328065435.8887 60591729367278.8516
     246 14533052371214.1680 61145239368868.8984
     247 14628182333092.1621 61698825278406.6953
     248 14727669694131.8398 62251536879062.8516
     249 14826776834584.3789 62805060890728.2266
     250 14919444468251.3633 63361324746190.4219
     251 15017227260216.9824 63915345911631.3125
     252 15115567627129.8750 64469112725013.7969
     253 15206219016402.0371 65023647563733.3047
     254 15305367429955.2754 65576070435830.9609
     255 15399602392501.4844 66130039770827.3594
     256 15491088794465.4512 66685332924945.5469
     257 15583954194779.1797 67241434777760.5312
     258 15676191656203.2266 67797502103242.2734
     259 15768676079076.7188 68352876089028.6641
     260 15859220129671.6836 68907659364411.7109
     261 15954200700221.6816 69461312194954.2109
     262 16066941055079.3945 70010741823307.5234
     263 16180373722083.7051 70564490623829.3594
     264 16296269659915.3438 71119741184288.3281
     265 16414267560000.5078 71667575652154.3281
     266 16534848121063.7715 72216604047404.7188
     267 16654849963453.8613 72767599489861.4375
     268 16776319260294.5176 73317513890419.5469
     269 16891408627561.5898 73867964705772.1094
     270 17014162456909.6875 74413775717025.9062
     271 17133657987380.0781 74947025635527.1562
     272 17244822208947.6426 75460424582211.1875
     273 17359905401908.1055 75976533663959.7969
     274 17474361336500.0996 76488914997088.2969
     275 17584407087097.1367 77001382338507.3281
     276 17692342773929.8633 77517043469606.2500
     277 17807359376003.0195 78029533177619.1562
     278 17923904220447.5508 78541706567850.3750
     279 18035427621824.3945 79054673525990.9062
     280 18146916542778.1914 79571826560136.4062
     281 18256679284587.7500 80088858026451.6250
     282 18349873981534.3984 80609204485623.5469
     283 18442889260184.1250 81133466527998.1562
     284 18538993406988.5820 81655597831616.4062
     285 18630646408413.3047 82178317764071.1094
     286 18722172588231.5938 82703116062162.2344
     287 18820470070076.8984 83225310086707.2969
     288 18917569443557.6562 83748083098043.6562
     289 19015233186899.4727 84268342449256.2656
     290 19113945158889.7500 84789666711201.3438
     291 19210995213244.1680 85309997480767.3594
     292 19306139715709.4844 85829991356503.6406
     293 19401300545182.3984 86351536482980.4844
     294 19495652559751.3203 86873322524769.5781
     295 19586668190776.9219 87318917148021.4219
     296 19660255813639.5586 87302567546219.3594
     297 19734096586128.6602 87311066624938.5312
     298 19839229233391.6719 87644803956705.5625
     299 19944971067437.7031 87924150976687.0781
     300 20050512478302.2773 88206091349000.2969
     301 20155515873261.1211 88488909514717.8906
     302 20260826260593.7891 88771032060840.8281
     303 20367855068568.2891 89053192550680.2812
     304 20475078020890.1797 89330675071822.2188
     305 20581022563128.5977 89608657529551.2188
     306 20688474058650.5156 89888299996498.7500
     307 20788160029993.4531 90086940817053.3281
     308 20884765175211.3086 90070142658532.0000
     309 20980805115448.5039 90051227545006.7812
     310 21075902672150.3164 90032231131709.6094
     311 21165004009529.3711 90014568288080.4531
     312 21258266028381.5781 89999065623488.8438
     313 21353688621097.4883 89979391260130.0312
     314 21447374430650.7695 89965561314165.4219
     315 21538246319163.5078 89959256679428.4531
     316 21634935619823.1406 89945362337015.5625
     317 21729994436461.8750 89927932351156.7031
     318 21824233126428.2500 89913916983959.3594
     319 21919596732036.0430 89901421150539.6875
     320 22008484746077.6250 89893040935322.1250
     321 22102562772547.7852 89885385580673.4062
     322 22200766963144.1250 89876825043634.5938
     323 22298458896578.9453 89869511243654.8594
     324 22386124035108.1992 89862762444321.4688
     325 22467703582009.1133 89865056708639.8125
     326 22557189441909.9141 89857648252618.5625
     327 22648726883948.6289 90010271630825.8281
     328 22746615718050.5742 90271855543324.3125
     329 22840761551829.0508 90571493398540.7188
     330 22938750783858.0039 90868606637060.7969
     331 23022233712486.7695 90858770736879.6719
     332 23101540379045.9648 90852827214611.3594
     333 23170074025811.9727 90848012640971.6406
     334 23237706242327.2891 90850590998160.2969
     335 23305973691599.6953 90855870121646.7344
     336 23381893295303.4648 90865450232721.8281
     337 23455996787411.4102 90877151801166.7500
     338 23531231111850.3750 90893315422056.2969
     339 23606125069919.1484 90912226054123.4844
     340 23682401607883.8555 90934215022342.0000
     341 23760891176557.2578 90962590024646.7656
     342 23839776478222.5000 90993485589297.9062
     343 23918924552307.0547 91028363889412.7031
     344 23996599479618.4531 91065071541873.3125
     345 24073930994885.5469 91105704711112.8125
     346 24147884136142.6523 91151252574413.4688
     347 24223252020295.4883 91199465906971.6562
     348 24302401360534.4062 91249471969807.9219
     349 24382861999142.7188 91298408617331.7969
     350 24462214592153.8945 91351367347350.7812
     351 24542230789615.2773 91408387073027.5156
     352 24623161546676.9492 91471264495912.2500
     353 24706739443656.0156 91533062241269.2031
     354 24788127195951.9180 91601705540791.4531
     355 24868046115600.1836 91670245922988.5781
     356 24940836787530.8750 91743900345429.5312
     357 25007114574250.7617 91816772494390.4375
     358 25078075034392.2695 91895454284718.2812
     359 25154173034445.8047 91981072276395.8438
     360 25231705595933.5312 92067970888165.4688
     361 25314434174155.8359 92155562856275.2500
     362 25399567397516.2070 79871418174728.5156
     363 25482225908368.7344 80223014664823.6250
     364 25566116619044.1836 80575304140618.2031
     365 25652149281026.7812 80926672540888.7344
     366 25737402028844.6250 81277180163935.7344
     367 25825735210145.3477 81626496934881.0469
     368 25910796022872.3320 81975394366114.7656
     369 25998332146433.4922 82324741612490.5625
     370 26089165211184.7695 82673605838221.8438
     371 26174986600407.3984 83026610887331.9375
     372 26265009411705.9453 83381203018966.3594
     373 26353147749307.9570 83735771282712.4219
     374 26440267092776.0859 84090091895663.4062
     375 26529532601646.2734 84447111546693.5469
     376 26607347271732.3203 84807621186705.3594
     377 26686108290692.0625 85166361264598.9688
     378 26767773589712.2305 85525142306618.0938
     379 26855713287565.5742 85878559323518.4219
     380 26941686436458.0234 86232909836801.1094
     381 27032072146063.8242 86586318678443.5938
     382 27121906058876.7422 86938298819047.6094
     383 27211825049886.4219 87289667088995.7812
     384 27301917745467.4531 87640554826548.6562
     385 27388915146577.9727 87992555720516.8906
     386 27466955454421.3203 88346086662792.6719
     387 27546855563642.9141 88698707633449.2031
     388 27625892820910.0703 89049966053510.0156
     389 27706399272853.8906 89402606750444.8438
     390 27787913329889.5898 89754488306260.2656
     391 27870597285448.5039 90107215588266.6250
     392 27953300756542.3789 90459749981319.6719
     393 28036125589474.8320 90811764257328.9688
     394 28119011900221.3711 91164239668051.7656
     395 28202686591317.6875 91516549183972.6094
     396 28286804741940.0586 91867336710005.5938
     397 28370728719382.9375 92218500531695.1875
     398 28454254589029.6641 92569049457031.9219
     399 28538420353657.0664 92919069180573.2969
     400 28623137888105.3789 93265692473765.5781
     401 28707424649755.8125 93613116028653.5781
     402 28791302782123.9492 93959474189872.5000
     403 28877077930795.3555 94306431996506.4219
     404 28961342056390.4180 94652418336726.6562
     405 29047538894125.1250 94998541066999.6406
     406 29131606348919.1211 95344863003357.1562
     407 29214112017137.8203 95690492451816.8125
     408 29296905376352.4453 96035984176289.2812
     409 29380485716630.8281 96381374297597.0312
     410 29464107031614.7266 96726436646257.9688
     411 29548078002247.4570 97071513948319.1094
     412 29634125520776.5781 97416070635443.8125
     413 29722995399378.5000 97759505036482.6094
     414 29815139787207.8750 98102913983721.6562
     415 29908692013640.0352 98447180021591.3281
     416 30008708484011.9297 98794639098054.6406
     417 30108043920744.0195 99142302952973.7188
     418 30207163368106.2812 99489319698083.3281
     419 30307414978198.2539 99837246676003.1250
     420 30398355884137.8594 100184174980746.5469
     421 30480063716317.9688 100531584681939.4219
     422 30559505943499.3398 100880116752182.7344
     423 30645833830190.6406 101232368707524.6406
     424 30740324609015.0938 101584742594101.4219
     425 30836624965813.4453 101936268132294.7812
     426 30936449591258.5312 102283941852991.5781
     427 31034359143833.0664 102633005662423.4219
     428 31134060579734.3555 102981626997239.0000
     429 31234161416905.3516 103330083206570.8281
     430 31334732887725.9219 103678206946603.5312
     431 31427961554023.3359 104026092091528.1562
     432 31525456338762.9570 104374293084313.5156
     433 31625875236561.7344 104721547018534.3125
     434 31727213270054.4180 105069733012062.2344
     435 31829183227305.4805 105417733347988.9062
     436 31930480778576.0977 105765092065110.6719
     437 32029684179869.5508 106112597637091.3750
     438 32125403032265.7109 106459815572248.5000
     439 32206549350240.7188 106808316187881.6875
     440 32291660085710.5625 107152223558023.5781
     441 32382980339169.2969 107494042698815.8438
     442 32468901179292.6055 107837678878951.0156
     443 32552787823243.6758 108181064016208.4375
     444 32636471812609.5586 108525448119408.9688
     445 32725349259016.6719 108868051335743.1719
     446 32815417136381.9297 109210275994402.5625
     447 32902153347023.1680 109552604087677.9062
     448 32978503068499.8477 109897193476098.4688
     449 33058052015051.8867 110240344548717.8125
     450 33141241111173.4961 110582545385521.7969
     451 33219599165736.9805 110927361120386.8281
     452 33301092291540.6797 111271487725668.2344
     453 33384674583432.6875 111615148853550.2344
     454 33465863915616.9805 111957927629227.1406
     455 33545408505616.6172 112302272361428.5469
     456 33624844525267.4492 112645368642181.5000
     457 33704973711023.6719 112990008275884.4531
     458 33782845936387.8672 113334614216409.1094
     459 33867930413763.9688 113677873108865.3750
     460 33951264094798.0781 114020560402516.0156
     461 34032433116295.6484 114364679728862.4219
     462 34111978507039.0938 114709237973261.7656
     463 34195114226974.2031 115052797969587.9531
     464 34278436487744.6719 115396697937689.3594
     465 34361686040201.6523 115740566392897.1250
     466 34447170011979.1055 116084241452697.8594
     467 34530990208776.1836 116429803462354.9844
     468 34618354258430.3242 116775694342016.5781
     469 34704639643943.0664 117120456555637.4531
     470 34793777134157.1484 117465056159548.2344
     471 34891439988400.8516 117808100501657.9844
     472 34990422975276.7773 118150742382501.7812
     473 35088454482609.9219 118492925685299.7656
     474 35184570668928.5391 118834828565777.9688
     475 35277006493206.2109 119178121882453.9219
     476 35367518309141.2656 119521760888657.2031
     477 35458497299102.5625 119866783740308.9375
     478 35549563501045.5625 120211438394977.2500
     479 35640259821238.6406 120556045231731.2188
     480 35736705271524.4062 120898533125974.0312
     481 35835481938166.6328 121240591914685.3281
     482 35934086329530.6172 121582407966109.5000
     483 36033365501820.2031 121925088394151.1250
     484 36132380451453.6172 122267326201092.4531
     485 36228676746400.1719 122608717653166.1719
     486 36325536338140.8984 122949502467656.5469
     487 36422089387799.0078 123290338609666.2812
     488 36518765985751.8281 123631225694941.1406
     489 36614454305800.6250 123971551461677.6094
     490 36706113122343.3984 124313176637522.8750
     491 36799166014762.7266 124654593820085.0781
     492 36892853508346.5078 124995197890051.3594
     493 36983116576613.0938 125337016717659.5938
     494 37073994488815.9688 125678660511069.3438
     495 37160543811995.7344 126023156234972.6094
     496 37247433428053.4219 126368069933106.8750
     497 37337601683628.4922 126712890019754.1406
     498 37429044849636.4922 127056769771438.1875
     499 37520613030220.6953 127400520416986.9688
     500 37613515828354.2812 127742807612722.9062
