#Frame         global     SA_00002     SA_00003     SA_00004     SA_00005     SA_00006     SA_00007
      78    6742.7230     322.0663     285.6744    3018.7938     613.7676    1627.1291     875.2918
      79    7752.3902     841.4031     633.2044    3031.0427     518.0736    1880.3164     848.3501
      80    4860.0055     374.4284     274.9779    2117.9364     452.0275    1051.2808     589.3545
      81    4922.2039     408.8410     349.0943    1784.1712     399.7093    1361.9273     618.4607
      82    5906.5191     348.5693     268.5167    2939.3259     381.4203    1099.2143     869.4726
      83    6006.9935     432.3770     489.0022    2678.8251     507.3144    1046.1576     853.3172
      84    5930.8474     319.2886     248.4080    2931.0760     559.1548    1198.4750     674.4450
      85    5475.5661     426.5947     300.6784    2369.8907     371.8178    1385.4847     621.0997
      86    6167.9726     344.4308     339.1458    2937.1495     595.6254    1110.6326     840.9886
      87    6390.9964     372.2960     417.2721    3110.2870     501.4137    1068.5115     921.2161
      88    7050.3507     640.6585     444.5682    3422.0901     508.5663    1367.8168     666.6509
      89    5839.0276     679.4109     525.9941    2429.8496     507.5459    1159.3871     536.8401
      90    6743.7528     432.8651     314.4843    2976.7888     641.8133    1559.8369     817.9643
      91    7751.8002     362.1603     360.4832    3620.9897     594.0305    1717.0303    1097.1061
      92    6083.7004     650.0044     505.2032    2379.9697     445.4112    1334.1650     768.9469
      93    6555.0046     402.3006     398.2621    3384.2612     476.4159    1176.7851     716.9796
      94    6085.9944     390.1920     298.4304    2938.0371     495.6239    1203.8506     759.8605
      95    4477.8095     315.9149     220.2935    1866.0366     333.9947    1147.4816     594.0880
      96    5323.9489     436.8438     357.6106    2493.8297     393.6582    1047.0954     594.9112
      97    6570.7913     309.8572     291.9587    3109.5457     563.2074    1578.3299     717.8924
      98    7451.8360     557.2627     389.8915    3027.1984     826.8828    1653.3999     997.2006
      99    6183.3267     430.8227     339.4484    2841.2343     461.5523    1509.7420     600.5271
     100    6563.1027     752.6783     414.6487    2998.6164     591.2359    1090.1130     715.8105
     101    6448.1274     436.5567     472.0925    2904.4656     504.0026    1388.2678     742.7422
     102    5933.4564     335.0788     274.3057    2783.0428     469.1618    1270.4298     801.4375
     103    4861.8077     333.2746     353.5433    2085.1931     397.3070    1194.9044     497.5853
     104    5551.4043     608.4998     471.0886    2483.4911     358.9736    1038.7231     590.6280
     105    5475.5972     486.6274     416.2179    2385.8180     511.1171    1079.5855     596.2312
     106    4957.7712     358.3501     294.8647    2456.4796     343.7789     930.3151     573.9828
     107    4899.1558     404.7014     329.3540    2113.9963     405.4411    1168.3697     477.2933
     108    6439.6664     350.9702     300.1368    3169.4303     582.7342    1188.0846     848.3104
     109    6220.3298     397.6710     371.7322    3028.3911     545.3419     980.8912     896.3023
     110    6865.9932     520.9538     556.5715    2650.2002     486.1823    1826.4433     825.6421
     111    6732.8969     374.4435     361.0358    3140.9739     478.7979    1492.7486     884.8972
     112    5416.6194     390.9530     373.6563    2641.5370     389.8893    1152.4892     468.0945
     113    6057.2155     613.4842     488.2437    2777.2763     456.1927    1037.2706     684.7479
     114    6489.2195     355.8096     418.1133    3152.7149     556.8107    1175.3285     830.4425
     115    6135.4620     603.7250     500.7392    2765.1542     369.3562    1145.4410     751.0464
     116    5034.1942     476.4861     329.7745    2256.8335     378.0219     880.3619     712.7163
     117    6110.7199     519.9685     349.9388    2808.0081     383.9002    1475.1515     573.7528
     118    5811.4122     332.0850     276.6357    2646.0225     499.2118    1330.4734     726.9837
     119    7648.6715     386.3328     473.7976    3693.1383     769.1795    1384.1177     942.1055
     120    6347.2202     574.3764     354.1345    2891.5550     476.3135    1211.1269     839.7140
     121    4611.3671     375.3372     289.8014    2031.1283     364.3662    1002.6266     548.1074
     122    6306.8173     592.2216     597.8800    2465.2127     454.4984    1363.9181     833.0865
     123    6458.0685     500.1163     400.6552    3115.3171     546.3554    1091.9748     803.6496
     124    5564.7863     597.1767     525.4099    2348.2666     421.8744    1187.5071     484.5517
     125    8379.8298     505.9884     637.1028    3696.8102     626.5311    1852.1845    1061.2129
     126    7150.8833     730.4044     479.0693    3422.2815     569.4061    1454.6627     495.0594
     127    5564.7256     313.2536     284.4190    2548.4945     494.6629    1151.1165     772.7791
     128    6061.5703     487.6397     462.8909    2668.0362     471.8805    1086.0122     885.1108
     129    5279.3532     683.8891     437.8436    1959.7164     468.2745    1099.8328     629.7968
     130    5478.4080     362.0091     366.1506    2517.1823     462.3115    1073.0186     697.7358
     131    6798.6064     382.0597     362.3205    3023.4519     629.7490    1490.4572     910.5680
     132    5711.8607     443.3933     465.9449    2731.0034     389.8488    1197.5377     484.1326
     133    4676.7492     362.0169     294.2882    2150.9444     369.6430     986.3346     513.5221
     134    8255.1609     672.0796     629.6489    3098.8295     699.4218    1812.4526    1342.7284
     135    7072.2437     620.9652     430.9312    3091.9505     451.8266    1575.3800     901.1901
     136    5113.1787     381.9508     323.1094    2386.7971     428.3895    1045.4348     547.4971
     137    5482.2152     605.2052     395.4408    2372.7366     313.6588    1225.1658     570.0080
     138    7214.5284     522.9203     613.4664    2939.2500     487.4116    1700.7617     950.7183
     139    7149.9664     411.1856     478.3666    3346.0142     678.5633    1276.7484     959.0883
     140    6635.3043     479.3806     535.7965    2599.4621     539.7344    1455.8303    1025.1004
     141    5436.6467     345.6154     255.0735    2409.2290     455.1958    1460.0618     511.4711
     142    4541.6633     363.7561     380.3512    1941.9056     336.8692     938.4868     580.2945
     143    6269.9606     318.4232     276.8037    2702.9264     673.4557    1506.4187     791.9329
     144    6974.8942     405.7642     366.4210    3588.1504     444.7664    1305.4263     864.3660
     145    6193.3716     636.9064     491.4352    2628.5518     529.2932     960.0541     947.1309
     146    6067.8954     363.9964     373.4362    2944.1338     591.7273    1180.5635     614.0383
     147    4926.6932     427.9881     369.8065    1995.7822     393.7286    1044.9611     694.4267
     148    5336.4110     436.8041     315.2968    2444.6573     457.9775    1164.7495     516.9260
     149    5529.6980     468.7256     308.7521    2709.7685     395.4397    1000.3273     646.6848
     150    6390.9716     328.1143     280.5436    2995.3611     592.6332    1489.9939     704.3255
     151    5098.3750     329.4982     286.7779    2374.5145     391.1789    1174.9082     541.4973
     152    5903.5802     361.3450     355.9041    2616.7918     603.4558    1153.4544     812.6291
     153    6570.9905     523.0970     419.7146    2758.6027     349.7059    1762.2479     757.6223
     154    5239.5212     418.9034     332.5970    2073.2827     430.2473    1433.9995     550.4912
     155    6591.4245     423.7041     301.5477    3224.1970     548.1652    1508.8352     584.9754
     156    5496.9436     322.3658     288.6844    2200.1623     484.6004    1423.6079     777.5227
     157    8392.4838     892.1379     464.7025    3678.6355     664.2036    1775.7589     917.0454
     158    6600.5062     536.6393     435.0440    3068.2173     490.3799    1343.7737     726.4519
     159    6772.2294     479.4553     535.4607    2766.5730     537.7438    1569.0956     883.9010
     160    4821.8455     486.7119     418.4300    2084.0617     348.5065     904.3711     579.7643
     161    6040.6515     387.5153     299.7182    2579.6450     598.3925    1411.6841     763.6964
     162    5835.6240     417.3326     491.6071    2293.4289     542.1858    1303.1150     787.9546
     163    5524.6590     350.7464     342.1789    2615.1482     425.1248    1261.7726     529.6880
     164    6591.2611     444.4181     472.8094    3036.4461     648.2414    1368.4958     620.8502
     165    5779.2924     547.0415     366.6575    2622.4745     489.8716    1277.5913     475.6559
     166    5497.4552     364.0483     431.1103    2318.3256     451.8207    1412.7407     519.4096
     167    6020.6362     511.5815     380.5153    2641.5572     532.9199    1292.7004     661.3619
     168    6139.4396     445.1544     396.4625    2692.7145     457.7938    1310.9823     836.3322
     169    7142.9088     502.0069     454.2435    3459.0907     629.9230    1189.8715     907.7732
     170    5406.6823     309.7243     318.7216    2587.7158     343.7425    1287.8073     558.9708
     171    6633.9435     597.3607     414.3140    3102.8309     448.3142    1575.5136     495.6102
     172    4563.2850     292.6813     279.1176    1985.0257     430.5265     891.8199     684.1140
     173    5870.9387     447.1075     416.0692    2413.1484     516.8408    1174.8209     902.9520
     174    6656.1401     377.2601     367.0687    3265.1695     620.5744    1062.8281     963.2393
     175    5392.9116     325.2432     320.8175    2324.3297     494.8458    1264.8868     662.7886
     176    6434.5535     548.6911     387.9256    2821.8476     523.8077    1376.7436     775.5378
     177    7184.3152     539.2079     421.7624    2944.0674     476.9957    1879.6450     922.6369
     178    6735.8825     463.0397     386.5098    2879.1202     624.8721    1633.6035     748.7371
     179    7667.6780     739.5584     523.7157    3445.2459     638.7618    1571.3691     749.0270
     180    5313.1546     454.4998     371.3697    2246.9784     350.2845    1293.9597     596.0624
     181    5771.3288     341.7349     376.6875    2745.1627     423.7169    1290.3141     593.7127
     182    4813.6300     364.9559     279.7825    2051.7839     329.1598    1155.5908     632.3570
     183    5396.6402     527.8503     437.1306    2314.5428     503.5586    1068.8648     544.6931
     184    4780.5033     339.1670     289.3918    2303.0863     370.4014     876.9934     601.4634
     185    6898.0196     399.3456     472.1484    2825.3263     788.8411    1504.2988     908.0594
     186    5625.8529     305.5188     223.4746    2843.3839     473.3201     978.2456     801.9100
     187    7031.3737     355.1137     340.4473    3170.9046     502.5561    1615.5385    1046.8135
     188    5228.5891     418.9011     329.7240    2633.7381     323.1159     909.6786     613.4313
     189    6827.4668     323.5549     252.9384    3360.8408     516.3479    1613.3047     760.4801
     190    5830.2411     409.1271     336.8945    2508.0162     547.7647    1187.1327     841.3060
     191    6886.9718     378.5613     371.1839    3448.1120     535.4805    1201.6016     952.0324
     192    5357.0969     394.6742     401.6764    2196.4181     396.0267    1273.8692     694.4324
     193    6344.1000     604.1401     597.2733    2262.3191     491.0093    1683.9596     705.3986
     194    5254.4082     393.7533     328.6976    2546.8874     374.2440     851.3784     759.4476
     195    7130.4859     627.6714     480.2793    3560.4782     619.2015    1022.9234     819.9318
     196    5778.6635     508.7835     329.3029    2418.8658     559.0253    1198.9235     763.7626
     197    6542.4925     546.2250     392.8811    2740.3167     392.6287    1806.3933     664.0477
     198    5030.1583     431.5528     379.8921    2454.8663     370.1811     882.9841     510.6820
     199    8132.3989     688.9081     468.9455    3820.8949     710.3272    1684.9786     758.3445
     200    5175.1431     465.1023     521.9930    2193.9875     363.6198     957.9511     672.4894
     201    6925.6844     408.8298     385.9101    3182.5347     613.1816    1414.5786     920.6496
     202    5559.8806     454.3300     318.6865    2440.9353     473.4029    1292.7095     579.8164
     203    6027.5405     547.9212     626.2751    2113.2009     540.7277    1486.7204     712.6952
     204    4951.3467     414.7319     356.9431    2222.0247     386.4858     925.3766     645.7845
     205    6075.6640     415.2118     496.3881    2553.2549     475.8228    1281.1260     853.8604
     206    4684.3394     353.5878     293.1376    2141.2021     303.0983    1102.0925     491.2211
