#Frame         global     SA_00002     SA_00003     SA_00004     SA_00005     SA_00006     SA_00007     SA_00008
      69    9719.0789     575.2922     563.3654    2155.3780     652.1909     582.1494    4117.7853    1072.9177
      70    7668.6853     699.6265     454.0661    1705.0882     410.1211     360.5098    3065.1628     974.1109
      71    7856.3423     505.7636     577.7826    1772.7890     455.8458     325.4443    3472.4789     746.2382
      72    7721.5931     628.9830     562.2945    1710.9097     413.3044     408.8725    3378.6104     618.6186
      73    7522.2465     607.3434     503.6762    1268.0397     386.7090     371.2291    3217.8615    1167.3877
      74    7492.4793     317.6917     323.5401    1423.4704     479.4238     422.6623    3770.1018     755.5893
      75    8853.4346     537.0844     400.5642    1908.1023     591.5207     460.0787    3799.0200    1157.0643
      76    6864.6396     478.5974     328.9172    1318.8422     446.8085     343.4492    3142.6271     805.3980
      77    7582.1937     604.2706     562.9221    1441.0282     596.9479     553.8940    2904.4687     918.6624
      78    7025.2336     478.0317     528.3723    1666.5995     307.6646     300.2749    3022.2612     722.0293
      79    5395.7888     484.8286     294.6274     977.1429     305.0521     266.5336    2322.1664     745.4376
      80    7855.1582     633.8650     481.4893    1777.0813     474.7455     366.1833    2987.5721    1134.2216
      81    7313.4596     528.6927     365.1439    1063.2830     440.3298     376.4986    3691.3166     848.1949
      82    5330.0959     314.2695     238.9238     883.2864     259.2283     265.4695    2612.0475     756.8710
      83    6050.4122     435.6135     442.2771    1276.6453     467.8218     332.9423    2230.9727     864.1395
      84    5711.5573     392.6548     308.4660     942.3983     294.5085     261.0996    2708.6645     803.7657
      85    7294.3691     354.9037     391.0943    1767.8898     530.1631     458.9251    3009.5325     781.8607
      86    7616.4068     535.9934     493.2008    1873.1926     519.6095     500.2677    2985.0714     709.0714
      87    4588.2719     316.7831     243.0727     936.4071     355.6511     310.1104    1848.2673     577.9802
      88    6956.2861     337.8019     314.9145    1359.6741     445.0942     321.2307    3409.7161     767.8546
      89    6857.8174     313.3398     245.4350    1300.2065     479.4865     453.1672    3274.4300     791.7524
      90    6440.7600     373.2014     354.1445    1458.5492     516.9590     468.4865    2777.9565     491.4629
      91    6875.0799     441.7718     450.7758    1365.3000     361.5612     285.4668    3247.8071     722.3972
      92    5350.0492     323.8878     240.9040    1091.1328     307.1529     269.4524    2365.6605     751.8589
      93    7389.0614     383.0846     451.8436    1703.0936     531.8761     375.5720    3174.4486     769.1427
      94    6799.0776     397.8540     400.5487    1009.0547     508.1687     391.0160    3297.9446     794.4910
      95    6207.1010     332.6680     254.2219    1321.8286     476.2387     423.5722    2759.4516     639.1200
      96    6255.4062     406.5602     376.1903    1565.4460     396.1682     368.0394    2472.2486     670.7535
      97    6869.7736     643.2972     552.4159    1207.2271     291.1138     323.2720    3069.1756     783.2721
      98    6679.2052     397.6346     364.4367    1407.9084     347.6463     350.1178    3092.9438     718.5177
      99    5871.3063     473.8666     398.1027    1597.8302     430.0116     332.5065    1870.3039     768.6847
     100    8075.2688     542.5837     548.7400    1449.2816     506.2334     399.6435    3523.9639    1104.8227
